Start AMS reading...
Step 1: Read control type definition data
Read 69 link types from file C:\NEXTA_OpenSource\Software_release\sample_data_sets\2. Importing_Creating_Traffic_Modeling_Data_Sets\3.VISUM_sample_GIS_files\input_link_type.csv
1: node block---
node id,control_type,TAZ,name,x,y
132738703,0,0,,-111.968,40.695,
132738704,0,0,,-111.977,40.695,
132738710,0,0,,-111.956,40.695,
132738711,0,0,,-111.958,40.696,
132738712,0,0,,-111.958,40.695,
132738715,0,0,,-111.968,40.694,
132738716,0,0,,-111.963,40.694,
132738717,0,0,,-111.964,40.694,
132738719,0,0,,-111.961,40.694,
132738722,0,0,,-111.960,40.694,
132738726,0,0,,-111.970,40.694,
132738732,0,0,,-112.006,40.694,
132738733,0,0,,-112.005,40.694,
132738734,0,0,,-112.004,40.694,
132738750,0,0,,-111.987,40.694,
132738752,0,0,,-111.985,40.694,
132738770,0,0,,-111.987,40.693,
132738771,0,0,,-111.960,40.694,
132738773,0,0,,-111.995,40.693,
132738774,0,0,,-111.994,40.693,
132738776,0,0,,-111.993,40.693,
132738784,0,0,,-111.996,40.693,
132738785,0,0,,-111.997,40.693,
132738790,0,0,,-112.006,40.693,
132738797,0,0,,-111.977,40.693,
132738805,0,0,,-111.972,40.693,
132738806,0,0,,-111.968,40.693,
132738809,5,0,,-111.958,40.693,
132738842,0,0,,-111.985,40.692,
132738843,0,0,,-111.987,40.692,
132738844,0,0,,-112.006,40.692,
132738849,0,0,,-111.958,40.692,
132738857,0,0,,-111.977,40.691,
132738860,0,0,,-111.987,40.691,
132738865,0,0,,-111.968,40.691,
132738873,0,0,,-112.006,40.691,
132738882,0,0,,-111.977,40.691,
132738883,0,0,,-111.996,40.691,
132738891,0,0,,-111.987,40.690,
132738911,0,0,,-111.996,40.690,
132738924,0,0,,-111.968,40.690,
132738948,0,0,,-111.977,40.689,
132738949,0,0,,-111.977,40.690,
132738957,0,0,,-111.981,40.689,
132738972,0,0,,-111.968,40.689,
132738997,0,0,,-111.968,40.688,
132739022,0,0,,-112.006,40.688,
132739026,0,0,,-111.987,40.688,
132739126,0,0,,-112.006,40.686,
132739287,0,0,,-112.006,40.683,
132739367,0,0,,-111.982,40.682,
132753926,0,0,,-111.966,40.694,
132753927,0,0,,-111.966,40.695,
132753928,0,0,,-111.962,40.696,
132753929,0,0,,-111.966,40.695,
132754297,0,0,,-111.971,40.694,
132754306,0,0,,-111.972,40.697,
132754307,0,0,,-111.972,40.698,
132754308,0,0,,-111.971,40.698,
132754309,0,0,,-111.972,40.698,
132754310,0,0,,-111.972,40.699,
132754311,0,0,,-111.974,40.698,
132754604,0,0,,-111.997,40.694,
132754606,0,0,,-111.992,40.694,
132754607,0,0,,-111.992,40.695,
132754608,0,0,,-111.991,40.694,
132754654,0,0,,-111.980,40.699,
132754682,0,0,,-111.992,40.697,
132754744,0,0,,-112.023,40.698,
132754745,0,0,,-112.021,40.698,
132754746,0,0,,-112.022,40.698,
132754747,0,0,,-112.022,40.699,
