timing_plan_name,node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnVolume,LinkVolume,Lanes,Shared,Width,Storage,StLanes,Grade,Speed,IdealFlow,LostTime,Phase1,PermPhase1,DetectPhase1,EffectiveGreen,Capacity,VOC,Delay,LOS,SatFlowRatePerLaneGroup,GreenStartTime,GreenEndTime,geometry,
ALLDAY,1353, ,0,0,5589,11173, ,Left,SBL,0,0,0,82,13.6667,75.2294,0.00610554,0,0,0,0,13,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1353, ,0,0,11172,5589, ,Left,EBL,0,0,0,31,5.16667,58.4906,0.00570093,0,0,0,0,5,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1353, ,0,0,11172,11173, ,Through,EBT,0,0,0,22,3.66667,41.5094,0.00569587,0,0,0,0,3,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1353, ,0,0,11173,5589, ,Right,WBR,0,0,0,298,49.6667,74.8744,0.00630116,0,0,0,0,49,0,0,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1353, ,0,0,11173,11172, ,Through,WBT,0,0,0,100,16.6667,25.1256,0.00740621,0,0,0,0,16,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1354, ,0,0,5592,11173, ,Right,SBR,0,0,0,32,5.33333,100,0.0131519,0,0,0,0,5,0,0,0,12,0,0,0,16.2162,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1354, ,0,0,11173,5592, ,Left,EBL,0,0,0,4,0.666667,100,0.0153068,0,0,0,0,0,0,7,0,12,0,0,0,16.2162,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1355, ,0,0,5219,11183, ,Right,EBR,0,0,0,189,31.5,100,0.0055689,0,0,0,0,31,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1355, ,0,0,11183,5219, ,Left,NBL,0,0,0,57,9.5,100,0.00702633,0,0,0,0,9,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6255,6256, ,Through,WBT,0,0,0,149,24.8333,97.3856,0.00602984,0,0,0,0,24,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6255,11183, ,Right,WBR,0,0,0,1,0.166667,0.653595,0.00602984,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6255,11259, ,Left,WBL,0,0,0,3,0.5,1.96078,0.00602984,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6256,6255, ,Through,EBT,0,0,0,302,50.3333,97.7346,0.00643087,0,0,0,0,50,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6256,11183, ,Left,EBL,0,0,0,7,1.16667,2.26537,0.00643027,0,0,0,0,1,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,6256,11259, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11183,6255, ,Left,SBL,0,0,0,100,16.6667,81.3008,0.0101653,0,0,0,0,16,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11183,6256, ,Right,SBR,0,0,0,23,3.83333,18.6992,0.0272264,0,0,0,0,3,0,0,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11183,11259, ,Through,SBT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11259,6255, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11259,6256, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1356, ,0,0,11259,11183, ,Through,NBT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,5174,5588, ,Through,NBT,0,0,0,1082,180.333,95.6675,0.00994598,0,0,0,0,180,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,5174,6255, ,Left,NBL,0,0,0,49,8.16667,4.33245,0.00995325,0,0,0,0,8,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,5588,5174, ,Through,SBT,0,0,0,1216,202.667,95.4474,0.0118105,0,0,0,0,202,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,5588,6255, ,Right,SBR,0,0,0,58,9.66667,4.55259,0.011792,0,0,0,0,9,0,0,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,6255,5174, ,Right,EBR,0,0,0,314,52.3333,70.8804,0.00675739,0,0,0,0,52,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1357, ,0,0,6255,5588, ,Left,EBL,0,0,0,129,21.5,29.1196,0.0067585,0,0,0,0,21,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1360, ,0,0,10850,11489, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16.2162,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1360, ,0,0,11489,10850, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,16.2162,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4156, ,0,0,10849,10850, ,Left,NBL,0,0,0,455,75.8333,100,0.00901596,0,0,0,0,75,0,1,0,12,0,0,0,24.6781,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4156, ,0,0,10850,10849, ,Right,EBR,0,0,0,430,71.6667,100,0.0132936,0,0,0,0,71,0,0,0,12,0,0,0,24.6781,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4804, ,0,0,5106,5109, ,Through,NBT,0,0,0,1790,298.333,100,8.93954,0,0,0,0,298,0,1,0,12,0,0,0,29.3232,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4804, ,0,0,5109,5106, ,Through,SBT,0,0,0,2819,469.833,100,0.0146587,0,0,0,0,469,0,1,0,12,0,0,0,29.3232,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1289,1290, ,Through,EBT,0,0,0,63,10.5,6.48148,32.0677,0,0,0,0,10,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1289,5022, ,Right,EBR,0,0,0,474,79,48.7654,20.2915,0,0,0,0,79,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1289,5440, ,Left,EBL,0,0,0,435,72.5,44.7531,24.0579,0,0,0,0,72,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1290,1289, ,Through,WBT,0,0,0,119,19.8333,22.7099,39.8678,0,0,0,0,19,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1290,5022, ,Left,WBL,0,0,0,214,35.6667,40.8397,38.1389,0,0,0,0,35,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,1290,5440, ,Right,WBR,0,0,0,191,31.8333,36.4504,39.0079,0,0,0,0,31,0,0,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5022,1289, ,Left,NBL,0,0,0,892,148.667,63.578,0.0406227,0,0,0,0,148,0,1,0,12,0,0,0,32.2555,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5022,1290, ,Right,NBR,0,0,0,134,22.3333,9.55096,0.0492789,0,0,0,0,22,0,0,0,12,0,0,0,32.2555,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5022,5440, ,Through,NBT,0,0,0,377,62.8333,26.871,0.0432719,0,0,0,0,62,0,1,0,12,0,0,0,32.2555,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5440,1289, ,Right,SBR,0,0,0,215,35.8333,25.0583,0.026825,0,0,0,0,35,0,0,0,12,0,0,0,32.2555,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5440,1290, ,Left,SBL,0,0,0,47,7.83333,5.47786,0.018519,0,0,0,0,7,0,1,0,12,0,0,0,32.2555,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4952, ,0,0,5440,5022, ,Through,SBT,0,0,0,596,99.3333,69.4639,0.0297324,0,0,0,0,99,0,1,0,12,0,0,0,32.2555,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,1299,5010, ,Left,N/A,0,0,0,355,59.1667,48.6301,2.67635,0,0,0,0,59,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,1299,5030, ,Through,N/A,0,0,0,375,62.5,51.3699,15.772,0,0,0,0,62,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,5010,1299, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,36.3636,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,5010,5030, ,Through,NBT,0,0,0,3210,535,100,19.1416,0,0,0,0,535,0,2,0,12,0,0,0,36.3636,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,5030,1299, ,Through,SBT,0,0,0,42,7,1.28049,0.0446776,0,0,0,0,7,0,2,0,12,0,0,0,36.3636,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,4958, ,0,0,5030,5010, ,Through,SBT,0,0,0,3238,539.667,98.7195,0.0593701,0,0,0,0,539,0,2,0,12,0,0,0,36.3636,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5027,5240, ,Right,WBR,0,0,0,12,2,0.416667,21.2395,0,0,0,0,2,0,0,0,12,0,0,0,36.3636,1900,4,6,0,0,6,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5027,5863, ,Through,WBT,0,0,0,2868,478,99.5833,7.22382,0,0,0,0,478,0,2,0,12,0,0,0,36.3636,1900,4,6,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5240,5027, ,Left,SBL,0,0,0,45,7.5,2.27733,0.785985,0,0,0,0,7,0,2,0,12,0,0,0,36.3636,1900,4,8,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5240,5863, ,Right,SBR,0,0,0,1931,321.833,97.7227,14.8247,0,0,0,0,321,0,0,0,12,0,0,0,36.3636,1900,4,8,0,0,6,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5863,5027, ,Through,EBT,0,0,0,3042,507,75.1297,6.4411,0,0,0,0,507,0,2,0,12,0,0,0,36.3636,1900,4,4,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5009, ,0,0,5863,5240, ,Left,EBL,0,0,0,1007,167.833,24.8703,7.40973,0,0,0,0,167,0,2,0,12,0,0,0,36.3636,1900,4,4,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5010, ,0,0,4958,5027, ,Through,SBT,0,0,0,1644,274,45.7684,0.0673076,0,0,0,0,274,0,2,0,12,0,0,0,36.3636,1900,4,8,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5010, ,0,0,4958,5240, ,Through,SBT,0,0,0,1948,324.667,54.2316,0.0866929,0,0,0,0,324,0,2,0,12,0,0,0,36.3636,1900,4,8,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5010, ,0,0,5027,4958, ,Through,NBT,0,0,0,1855,309.167,100,17.8651,0,0,0,0,309,0,1,0,12,0,0,0,35.3636,1900,4,2,0,0,52,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5010, ,0,0,5027,5240, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,35.3636,1900,4,2,0,0,52,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,5010, ,0,0,5240,4958, ,Through,N/A,0,0,0,1354,225.667,100,40.5249,0,0,0,0,225,0,2,0,12,0,0,0,36.3636,1900,4,2,0,0,24,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
