RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Width,1322,,,,12,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
Storage,1322,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
StLanes,1322,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Grade,1322,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Speed,1322,,,,21.1765,,,,,,,,,,,,,21.1765,,,,,,,,,,,,,,,,,,
Up Node,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
