Vehicle Selection Mode,--,Network-wide,--
,,10:45_11:00,288.07
Category,15-min Departure Time Interval,90th Percentile Travel Time (min),
,,05:00_05:15,11.58
,,05:15_05:30,14.30
,,05:30_05:45,16.01
,,05:45_06:00,20.80
,,06:00_06:15,47.34
,,06:15_06:30,158.43
,,06:30_06:45,402.17
,,06:45_07:00,453.83
,,07:00_07:15,476.00
,,07:15_07:30,478.44
,,07:30_07:45,466.82
,,07:45_08:00,461.89
,,08:00_08:15,446.49
,,08:15_08:30,434.76
,,08:30_08:45,415.38
,,08:45_09:00,389.94
,,09:00_09:15,380.07
,,09:15_09:30,364.65
,,09:30_09:45,357.08
,,09:45_10:00,356.28
,,10:00_10:15,342.80
,,10:15_10:30,304.68
,,10:30_10:45,292.42
,,10:45_11:00,278.47
Category,15-min Departure Time Interval,80th Percentile Travel Time (min),
,,05:00_05:15,10.36
,,05:15_05:30,11.67
,,05:30_05:45,13.10
,,05:45_06:00,15.63
,,06:00_06:15,32.09
,,06:15_06:30,70.45
,,06:30_06:45,344.39
,,06:45_07:00,404.07
,,07:00_07:15,431.41
,,07:15_07:30,443.29
,,07:30_07:45,441.63
,,07:45_08:00,434.84
,,08:00_08:15,418.89
,,08:15_08:30,408.88
,,08:30_08:45,395.07
,,08:45_09:00,370.72
,,09:00_09:15,357.53
,,09:15_09:30,347.09
,,09:30_09:45,348.10
,,09:45_10:00,345.21
,,10:00_10:15,325.65
,,10:15_10:30,268.34
,,10:30_10:45,259.06
,,10:45_11:00,233.72
Category,15-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,05:00_05:15, 2.43
,,05:15_05:30, 3.02
,,05:30_05:45, 3.57
,,05:45_06:00, 5.26
,,06:00_06:15,12.84
,,06:15_06:30,74.63
,,06:30_06:45,86.11
,,06:45_07:00,93.56
,,07:00_07:15,96.75
,,07:15_07:30,101.38
,,07:30_07:45,104.30
,,07:45_08:00,109.31
,,08:00_08:15,110.98
,,08:15_08:30,107.46
,,08:30_08:45,102.43
,,08:45_09:00,97.89
,,09:00_09:15,90.70
,,09:15_09:30,85.71
,,09:30_09:45,82.61
,,09:45_10:00,85.14
,,10:00_10:15,80.36
,,10:15_10:30,73.75
,,10:30_10:45,69.91
,,10:45_11:00,64.76
Category,15-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,05:00_05:15, 1.05
,,05:15_05:30, 1.16
,,05:30_05:45, 1.32
,,05:45_06:00, 1.75
,,06:00_06:15, 1.63
,,06:15_06:30, 4.67
,,06:30_06:45, 2.43
,,06:45_07:00, 1.31
,,07:00_07:15, 0.88
,,07:15_07:30, 0.59
,,07:30_07:45, 0.53
,,07:45_08:00, 0.51
,,08:00_08:15, 0.46
,,08:15_08:30, 0.44
,,08:30_08:45, 0.44
,,08:45_09:00, 0.45
,,09:00_09:15, 0.37
,,09:15_09:30, 0.38
,,09:30_09:45, 0.36
,,09:45_10:00, 0.41
,,10:00_10:15, 0.51
,,10:15_10:30, 0.62
,,10:30_10:45, 0.64
,,10:45_11:00, 0.62
Category,15-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,05:00_05:15, 1.89
,,05:15_05:30, 2.05
,,05:30_05:45, 2.01
,,05:45_06:00, 2.40
,,06:00_06:15, 3.09
,,06:15_06:30, 5.19
,,06:30_06:45, 7.82
,,06:45_07:00, 3.29
,,07:00_07:15, 0.46
,,07:15_07:30, 0.37
,,07:30_07:45, 0.29
,,07:45_08:00, 0.30
,,08:00_08:15, 0.33
,,08:15_08:30, 0.35
,,08:30_08:45, 0.84
,,08:45_09:00, 0.72
,,09:00_09:15, 0.71
,,09:15_09:30, 0.70
,,09:30_09:45, 0.86
,,09:45_10:00, 1.26
,,10:00_10:15, 1.88
,,10:15_10:30, 1.95
,,10:30_10:45, 2.05
,,10:45_11:00, 1.64
Category,15-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,05:00_05:15, 0.34
,,05:15_05:30, 0.65
,,05:30_05:45, 1.10
,,05:45_06:00, 1.84
,,06:00_06:15,15.10
,,06:15_06:30,37.08
,,06:30_06:45,61.56
,,06:45_07:00,84.48
,,07:00_07:15,117.36
,,07:15_07:30,158.33
,,07:30_07:45,177.29
,,07:45_08:00,194.37
,,08:00_08:15,204.37
,,08:15_08:30,199.63
,,08:30_08:45,187.92
,,08:45_09:00,177.95
,,09:00_09:15,148.35
,,09:15_09:30,88.62
,,09:30_09:45,92.31
,,09:45_10:00,93.26
,,10:00_10:15,87.36
,,10:15_10:30,68.25
,,10:30_10:45,64.20
,,10:45_11:00,59.99
Category,15-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,05:00_05:15, 2.72
,,05:15_05:30, 3.67
,,05:30_05:45, 5.30
,,05:45_06:00, 7.38
,,06:00_06:15,19.87
,,06:15_06:30,90.54
,,06:30_06:45,144.61
,,06:45_07:00,224.01
,,07:00_07:15,362.58
,,07:15_07:30,532.78
