origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
11,25,127,45,274.415,4.0945
11,26,114,32,247.746,5.00198
11,27,86,24,226.801,4.47541
11,28,312,138,241.524,1.39186
11,30,331,146,245.758,0.532201
11,31,144,30,169.69,4.68411
11,32,81,21,246.686,5.06282
11,33,34,15,256.83,4.37642
11,34,226,64,238.604,4.18746
11,35,24,6,375.785,4.35339
11,36,19,5,256.113,2.38985
11,37,187,60,251.799,4.16775
11,38,123,34,318.091,4.84762
11,39,2,1,335.59,2.23521
11,41,1108,184,182.303,5.20423
12,1,42,19,298.623,3.10018
12,2,40,40,214.537,2.508
12,3,41,41,255.905,3.95237
12,5,10,8,227.849,5.70992
12,6,7,4,317.394,5.9333
12,7,10,10,251.585,5.34497
12,8,1,1,351.127,6.33576
12,9,36,36,296.418,6.52873
12,11,69,69,139.16,1.75389
12,13,142,142,164.24,0.932974
12,14,72,72,220.954,1.53804
12,15,44,44,230.661,1.72883
12,16,19,19,267.612,2.78979
12,17,27,27,174.998,2.27319
12,18,6,2,324.504,3.12241
12,19,6,4,241.731,5.76714
12,20,2,2,173.965,4.93565
12,21,5,5,344.474,6.15729
12,22,3,3,247.455,6.28459
12,23,12,12,129.097,3.012
12,25,7,7,188.691,4.23224
12,26,4,4,194.968,3.66021
12,27,4,4,269.519,4.42311
12,28,12,12,117.143,2.80595
12,31,15,15,269.116,3.06731
12,32,13,13,267.514,2.96207
12,33,1,1,436.09,5.14511
12,34,22,22,160.779,2.55781
12,35,4,4,169.419,2.28212
12,36,2,2,193.9,1.02552
12,37,7,7,199.066,4.09227
12,38,8,4,108.651,6.02881
12,40,13,13,190.577,1.21546
12,41,49,27,266.901,3.55053
13,1,982,265,235.057,3.06854
13,2,1516,723,234,2.35097
13,3,378,153,251.309,3.79784
13,4,17,8,224.582,4.83524
13,5,79,22,217.139,5.53041
13,6,83,23,222.331,5.9325
13,7,306,161,295.614,5.2067
13,9,276,111,296.521,6.40276
13,10,13,6,195.873,3.98494
13,11,447,268,237.073,2.39105
13,14,1178,542,241.147,1.42848
13,15,689,323,242.647,1.41884
13,16,295,124,264.438,2.51886
13,17,228,120,228.534,2.22787
13,18,99,30,241.375,3.05949
13,19,49,17,272.729,5.06088
13,20,13,3,355.659,5.09188
13,21,55,20,325.804,6.08086
13,22,16,6,353.098,6.53894
13,23,41,24,259.917,3.73867
0,0,2,0,0,0
13,25,64,34,249.364,3.63907
13,26,43,24,227.93,3.64701
13,27,44,19,280.711,4.18966
13,28,56,31,230.862,3.42509
13,30,36,21,216.84,2.51806
13,31,132,55,237.859,3.11552
13,32,116,55,241.796,2.72393
13,33,18,6,159.23,5.159
13,34,173,94,242.927,2.37223
13,35,44,23,241.5,2.15735
13,36,66,40,231.228,0.61725
13,37,89,39,261.84,3.94633
13,38,63,15,188.035,6.10569
13,41,418,114,225.976,3.34318
14,1,3224,1005,224.604,2.24116
14,2,596,247,211.109,2.77243
14,3,217,76,205.425,4.15875
14,4,7,4,326.757,5.24019
14,5,53,14,213.736,5.92781
14,6,54,13,176.519,6.35356
14,7,377,167,286.158,5.69464
14,9,168,62,306.314,6.79117
14,10,6,3,393.485,4.41395
14,11,236,134,230.775,2.88001
14,13,488,282,232.222,1.39091
14,15,1953,1129,232.568,0.570215
14,16,321,160,260.5,1.67415
14,17,148,68,257.009,2.15515
14,18,46,16,230.004,2.25446
14,19,29,9,236.519,5.47043
14,20,8,3,265.184,5.21059
14,21,36,14,281.61,6.52593
14,22,9,3,392.656,6.90558
14,23,26,17,239.892,4.13968
0,0,1,0,0,0
14,25,36,16,219.014,4.15906
14,26,25,11,208.133,4.02882
14,27,23,9,247.52,4.68662
14,28,27,15,218.838,3.93207
14,30,19,10,266.209,3.07241
14,31,72,24,195.775,3.47193
14,32,74,20,243.247,2.67342
14,33,13,4,290.281,5.64166
14,34,125,58,205.156,2.73699
14,36,34,20,224.845,0.65116
14,37,54,23,256.232,4.20316
14,38,43,13,190.044,6.40284
14,41,362,112,223.899,2.42263
15,1,742,272,229.408,2.32685
15,2,359,168,197.012,2.76415
15,3,134,55,210.745,4.15526
15,4,19,7,199.637,5.21238
15,7,292,149,278.352,5.65707
15,9,101,41,285.96,6.7673
15,10,18,12,247.859,4.42488
15,11,147,94,218.845,2.87503
15,13,294,193,216.597,1.38593
15,14,2049,1329,217.732,0.570211
15,16,250,143,252.991,1.66546
15,17,87,50,244.752,2.14858
15,18,91,39,237.374,2.13507
15,19,19,8,188.11,5.43806
15,21,25,9,276.812,6.53312
15,22,7,3,167.524,7.2314
15,26,15,8,245.517,4.02384
15,28,19,11,220.706,3.92709
15,31,50,23,234.367,3.42638
15,32,42,14,273.257,2.6645
15,33,8,3,166.171,5.50874
15,34,64,35,204.275,2.78275
15,37,30,13,205.585,4.19809
15,41,219,82,230.032,2.551
16,1,1201,363,200.645,1.00796
16,2,497,118,185.478,2.06858
16,3,125,30,237.534,3.50299
16,4,17,2,20.1263,4.50564
16,5,31,9,222.621,5.24536
16,7,1426,285,205.795,5.6905
16,9,57,10,116.6,6.6762
16,10,18,5,356.96,5.48943
16,11,76,26,203.885,3.95103
16,13,132,45,193.788,2.37166
16,14,756,267,206.808,1.54079
16,15,344,121,206.447,1.5676
16,18,109,41,195.738,1.0242
16,19,16,4,323.558,4.57158
16,20,2,2,195.065,4.60386
16,21,10,2,205.017,5.92488
0,0,2,0,0,0
16,27,8,2,9.06842,3.69097
16,28,7,3,248.316,4.8839
16,30,7,3,296.839,4.02424
16,31,43,12,278.22,2.74428
16,32,67,19,205.237,1.43227
16,34,52,24,261.595,2.16356
16,36,8,1,7.56534,2.71307
16,37,36,9,254.678,3.96595
16,38,21,5,227.989,5.7752
