from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
11148,1320,f,300,660,420,1428.6000,0.0070,0.0000,21.0000,19.4355,93,A,0,0.0000,420,0.0000,0.0000,4200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,420,0,0,0,"<LineString><coordinates>-111.938790,40.599023,0.0 -111.934149,40.599977,0.0</coordinates></LineString>",11148,1320,
1322,5589,f,300,660,694,1428.6000,0.0116,0.0542,21.0000,0.3979,2,F,0,0.0000,694,0.0000,0.0000,6940.0000,0.0000,0.0000,0.0000,0.0000,0.0000,694,0,0,0,"<LineString><coordinates>-111.934364,40.591005,0.0 -111.934078,40.587780,0.0</coordinates></LineString>",1322,5589,
5589,1322,f,300,660,417,1428.6000,0.0069,0.0000,21.0000,20.8775,99,A,0,0.0000,417,0.0000,0.0000,4170.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417,0,0,0,"<LineString><coordinates>-111.934047,40.587783,0.0 -111.934333,40.591007,0.0</coordinates></LineString>",5589,1322,
1322,11161,f,300,660,311,1428.6000,0.0052,0.0436,21.0000,0.2144,1,F,0,0.0000,311,0.0000,0.0000,3110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,311,0,0,0,"<LineString><coordinates>-111.934349,40.590990,0.0 -111.929272,40.591031,0.0</coordinates></LineString>",1322,11161,
11161,1322,f,300,660,264,1428.6000,0.0044,0.0000,21.0000,20.5577,98,A,0,0.0000,264,0.0000,0.0000,2640.0000,0.0000,0.0000,0.0000,0.0000,0.0000,264,0,0,0,"<LineString><coordinates>-111.929272,40.591062,0.0 -111.934349,40.591021,0.0</coordinates></LineString>",11161,1322,
1323,5592,f,300,660,700,1428.6000,0.0117,0.0603,21.0000,0.4310,2,F,0,0.0000,700,0.0000,0.0000,7000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700,0,0,0,"<LineString><coordinates>-111.921433,40.591612,0.0 -111.922190,40.587745,0.0</coordinates></LineString>",1323,5592,
5592,1323,f,300,660,389,1428.6000,0.0065,0.0000,21.0000,19.8580,95,A,0,0.0000,389,0.0000,0.0000,3890.0000,0.0000,0.0000,0.0000,0.0000,0.0000,389,0,0,0,"<LineString><coordinates>-111.922159,40.587739,0.0 -111.921403,40.591606,0.0</coordinates></LineString>",5592,1323,
1325,10853,f,300,660,42,1428.6000,0.0007,0.0508,16.0000,0.2821,2,F,0,0.0000,42,0.0000,0.0000,420.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42,0,0,0,"<LineString><coordinates>-111.907451,40.592328,0.0 -111.904442,40.592369,0.0</coordinates></LineString>",1325,10853,
10853,1325,f,300,660,24,1428.6000,0.0004,0.0000,16.0000,15.7437,98,A,0,0.0000,24,0.0000,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24,0,0,0,"<LineString><coordinates>-111.904442,40.592400,0.0 -111.907451,40.592360,0.0</coordinates></LineString>",10853,1325,
1346,11172,f,300,660,453,1428.6000,0.0075,0.0609,21.0000,0.1755,1,F,0,0.0000,453,0.0000,0.0000,4530.0000,0.0000,0.0000,0.0000,0.0000,0.0000,453,0,0,0,"<LineString><coordinates>-111.943605,40.584076,0.0 -111.938818,40.584155,0.0</coordinates></LineString>",1346,11172,
11172,1346,f,300,660,249,1428.6000,0.0041,0.0000,21.0000,21.0000,100,A,0,0.0000,249,0.0000,0.0000,2490.0000,0.0000,0.0000,0.0000,0.0000,0.0000,249,0,0,0,"<LineString><coordinates>-111.938819,40.584187,0.0 -111.943605,40.584108,0.0</coordinates></LineString>",11172,1346,
1348,5210,f,300,660,477,1428.6000,0.0079,0.0604,21.0000,0.1745,1,F,0,0.0000,477,0.0000,0.0000,4770.0000,0.0000,0.0000,0.0000,0.0000,0.0000,477,0,0,0,"<LineString><coordinates>-111.943542,40.576969,0.0 -111.938741,40.576945,0.0</coordinates></LineString>",1348,5210,
5210,1348,f,300,660,223,1428.6000,0.0037,0.0000,21.0000,19.1429,91,A,0,0.0000,223,0.0000,0.0000,2230.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0,0,"<LineString><coordinates>-111.938741,40.576976,0.0 -111.943542,40.577000,0.0</coordinates></LineString>",5210,1348,
1349,5210,f,300,660,754,1428.6000,0.0126,38.3793,21.0000,0.1562,1,F,0,0.0000,754,0.0000,0.0000,7540.0000,0.0000,0.0000,0.0000,0.0000,0.0000,754,0,0,0,"<LineString><coordinates>-111.934352,40.576885,0.0 -111.938740,40.576976,0.0</coordinates></LineString>",1349,5210,
5210,1349,f,300,660,435,1428.6000,0.0072,0.0000,21.0000,20.1121,96,A,0,0.0000,435,0.0000,0.0000,4350.0000,0.0000,0.0000,0.0000,0.0000,0.0000,435,0,0,0,"<LineString><coordinates>-111.938741,40.576945,0.0 -111.934352,40.576854,0.0</coordinates></LineString>",5210,1349,
1349,5219,f,300,660,462,1428.6000,0.0077,0.0154,21.0000,0.2375,1,F,0,0.0000,462,0.0000,0.0000,4620.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462,0,0,0,"<LineString><coordinates>-111.934352,40.576854,0.0 -111.929172,40.576724,0.0</coordinates></LineString>",1349,5219,
5219,1349,f,300,660,277,1428.6000,0.0046,0.0000,21.0000,20.7435,99,A,0,0.0000,277,0.0000,0.0000,2770.0000,0.0000,0.0000,0.0000,0.0000,0.0000,277,0,0,0,"<LineString><coordinates>-111.929171,40.576756,0.0 -111.934352,40.576885,0.0</coordinates></LineString>",5219,1349,
1349,11181,f,300,660,395,1428.6000,0.0066,0.0415,21.0000,0.2733,1,F,0,0.0000,395,0.0000,0.0000,3950.0000,0.0000,0.0000,0.0000,0.0000,0.0000,395,0,0,0,"<LineString><coordinates>-111.934364,40.576859,0.0 -111.931043,40.573162,0.0</coordinates></LineString>",1349,11181,
11181,1349,f,300,660,374,1428.6000,0.0062,0.0000,21.0000,20.8432,99,A,0,0.0000,374,0.0000,0.0000,3740.0000,0.0000,0.0000,0.0000,0.0000,0.0000,374,0,0,0,"<LineString><coordinates>-111.931019,40.573183,0.0 -111.934340,40.576880,0.0</coordinates></LineString>",11181,1349,
1351,5209,f,300,660,543,1428.6000,0.0090,2.0177,21.0000,0.1651,1,F,0,0.0000,543,0.0000,0.0000,5430.0000,0.0000,0.0000,0.0000,0.0000,0.0000,543,0,0,0,"<LineString><coordinates>-111.943535,40.567985,0.0 -111.938738,40.568067,0.0</coordinates></LineString>",1351,5209,
5209,1351,f,300,660,251,1428.6000,0.0042,0.0000,21.0000,19.0777,91,A,0,0.0000,251,0.0000,0.0000,2510.0000,0.0000,0.0000,0.0000,0.0000,0.0000,251,0,0,0,"<LineString><coordinates>-111.938738,40.568098,0.0 -111.943536,40.568016,0.0</coordinates></LineString>",5209,1351,
1352,5209,f,300,660,1133,1428.6000,0.0189,110.4407,21.0000,0.1368,1,F,0,0.0000,1133,0.0000,0.0000,11330.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1133,0,0,0,"<LineString><coordinates>-111.933962,40.567891,0.0 -111.938737,40.568098,0.0</coordinates></LineString>",1352,5209,
5209,1352,f,300,660,609,1428.6000,0.0101,0.0000,21.0000,21.0000,100,A,0,0.0000,609,0.0000,0.0000,6090.0000,0.0000,0.0000,0.0000,0.0000,0.0000,609,0,0,0,"<LineString><coordinates>-111.938739,40.568067,0.0 -111.933964,40.567860,0.0</coordinates></LineString>",5209,1352,
1352,6256,f,300,660,754,1428.6000,0.0126,0.0262,21.0000,0.2731,1,F,0,0.0000,754,0.0000,0.0000,7540.0000,0.0000,0.0000,0.0000,0.0000,0.0000,754,0,0,0,"<LineString><coordinates>-111.933962,40.567860,0.0 -111.929139,40.568028,0.0</coordinates></LineString>",1352,6256,
6256,1352,f,300,660,428,1428.6000,0.0071,0.0000,21.0000,19.9681,95,A,0,0.0000,428,0.0000,0.0000,4280.0000,0.0000,0.0000,0.0000,0.0000,0.0000,428,0,0,0,"<LineString><coordinates>-111.929140,40.568059,0.0 -111.933963,40.567891,0.0</coordinates></LineString>",6256,1352,
1352,11181,f,300,660,465,1428.6000,0.0077,0.0133,21.0000,0.3396,2,F,0,0.0000,465,0.0000,0.0000,4650.0000,0.0000,0.0000,0.0000,0.0000,0.0000,465,0,0,0,"<LineString><coordinates>-111.933949,40.567868,0.0 -111.931017,40.573165,0.0</coordinates></LineString>",1352,11181,
11181,1352,f,300,660,334,1428.6000,0.0056,0.0000,21.0000,20.8161,99,A,0,0.0000,334,0.0000,0.0000,3340.0000,0.0000,0.0000,0.0000,0.0000,0.0000,334,0,0,0,"<LineString><coordinates>-111.931045,40.573180,0.0 -111.933977,40.567883,0.0</coordinates></LineString>",11181,1352,
1352,11261,f,300,660,351,1428.6000,0.0058,0.0237,21.0000,0.2962,1,F,0,0.0000,351,0.0000,0.0000,3510.0000,0.0000,0.0000,0.0000,0.0000,0.0000,351,0,0,0,"<LineString><coordinates>-111.933978,40.567877,0.0 -111.934628,40.562300,0.0</coordinates></LineString>",1352,11261,
11261,1352,f,300,660,668,1428.6000,0.0111,0.0000,21.0000,21.0000,100,A,0,0.0000,668,0.0000,0.0000,6680.0000,0.0000,0.0000,0.0000,0.0000,0.0000,668,0,0,0,"<LineString><coordinates>-111.934597,40.562296,0.0 -111.933947,40.567874,0.0</coordinates></LineString>",11261,1352,
1353,5589,f,300,660,623,1428.6000,0.0104,0.0256,21.0000,0.8795,4,F,0,0.0000,623,0.0000,0.0000,6230.0000,0.0000,0.0000,0.0000,0.0000,0.0000,623,0,0,0,"<LineString><coordinates>-111.934250,40.584067,0.0 -111.934047,40.587780,0.0</coordinates></LineString>",1353,5589,
5589,1353,f,300,660,259,1428.6000,0.0043,0.0000,21.0000,20.2831,97,A,0,0.0000,259,0.0000,0.0000,2590.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259,0,0,0,"<LineString><coordinates>-111.934078,40.587782,0.0 -111.934282,40.584068,0.0</coordinates></LineString>",5589,1353,
1353,11172,f,300,660,861,1428.6000,0.0143,20.7525,21.0000,0.1794,1,F,0,0.0000,861,0.0000,0.0000,8610.0000,0.0000,0.0000,0.0000,0.0000,0.0000,861,0,0,0,"<LineString><coordinates>-111.934266,40.584083,0.0 -111.938818,40.584187,0.0</coordinates></LineString>",1353,11172,
11172,1353,f,300,660,373,1428.6000,0.0062,0.0000,21.0000,20.5129,98,A,0,0.0000,373,0.0000,0.0000,3730.0000,0.0000,0.0000,0.0000,0.0000,0.0000,373,0,0,0,"<LineString><coordinates>-111.938819,40.584155,0.0 -111.934266,40.584052,0.0</coordinates></LineString>",11172,1353,
1353,11173,f,300,660,159,1428.6000,0.0026,0.0173,21.0000,0.3558,2,F,0,0.0000,159,0.0000,0.0000,1590.0000,0.0000,0.0000,0.0000,0.0000,0.0000,159,0,0,0,"<LineString><coordinates>-111.934265,40.584052,0.0 -111.929245,40.584353,0.0</coordinates></LineString>",1353,11173,
11173,1353,f,300,660,476,1428.6000,0.0079,0.0000,21.0000,20.8124,99,A,0,0.0000,476,0.0000,0.0000,4760.0000,0.0000,0.0000,0.0000,0.0000,0.0000,476,0,0,0,"<LineString><coordinates>-111.929247,40.584384,0.0 -111.934267,40.584083,0.0</coordinates></LineString>",11173,1353,
1354,5592,f,300,660,100,1428.6000,0.0017,0.0184,16.0000,0.3298,2,F,0,0.0000,100,0.0000,0.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100,0,0,0,"<LineString><coordinates>-111.923413,40.584049,0.0 -111.922160,40.587737,0.0</coordinates></LineString>",1354,5592,
5592,1354,f,300,660,77,1428.6000,0.0013,0.0000,16.0000,15.8635,99,A,0,0.0000,77,0.0000,0.0000,770.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77,0,0,0,"<LineString><coordinates>-111.922189,40.587747,0.0 -111.923443,40.584059,0.0</coordinates></LineString>",5592,1354,
1354,11173,f,300,660,697,1428.6000,0.0116,13.6613,16.0000,0.2091,1,F,0,0.0000,697,0.0000,0.0000,6970.0000,0.0000,0.0000,0.0000,0.0000,0.0000,697,0,0,0,"<LineString><coordinates>-111.923427,40.584070,0.0 -111.929245,40.584384,0.0</coordinates></LineString>",1354,11173,
11173,1354,f,300,660,240,1428.6000,0.0040,0.0000,16.0000,15.5275,97,A,0,0.0000,240,0.0000,0.0000,2400.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240,0,0,0,"<LineString><coordinates>-111.929247,40.584353,0.0 -111.923429,40.584039,0.0</coordinates></LineString>",11173,1354,
1355,5219,f,300,660,527,1428.6000,0.0088,24.5554,21.0000,0.1273,1,F,0,0.0000,527,0.0000,0.0000,5270.0000,0.0000,0.0000,0.0000,0.0000,0.0000,527,0,0,0,"<LineString><coordinates>-111.924746,40.576647,0.0 -111.929171,40.576756,0.0</coordinates></LineString>",1355,5219,
5219,1355,f,300,660,432,1428.6000,0.0072,0.0000,21.0000,20.5179,98,A,0,0.0000,432,0.0000,0.0000,4320.0000,0.0000,0.0000,0.0000,0.0000,0.0000,432,0,0,0,"<LineString><coordinates>-111.929172,40.576724,0.0 -111.924747,40.576616,0.0</coordinates></LineString>",5219,1355,
1355,11183,f,300,660,415,1428.6000,0.0069,0.0295,21.0000,0.2488,1,F,0,0.0000,415,0.0000,0.0000,4150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,415,0,0,0,"<LineString><coordinates>-111.924761,40.576627,0.0 -111.923421,40.572472,0.0</coordinates></LineString>",1355,11183,
11183,1355,f,300,660,90,1428.6000,0.0015,0.0000,21.0000,20.5448,98,A,0,0.0000,90,0.0000,0.0000,900.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90,0,0,0,"<LineString><coordinates>-111.923391,40.572481,0.0 -111.924732,40.576636,0.0</coordinates></LineString>",11183,1355,
1356,6255,f,300,660,469,1428.6000,0.0078,0.0052,21.0000,3.6487,17,F,0,0.0000,469,0.0000,0.0000,4690.0000,0.0000,0.0000,0.0000,0.0000,0.0000,469,0,0,0,"<LineString><coordinates>-111.924118,40.567163,0.0 -111.919631,40.565856,0.0</coordinates></LineString>",1356,6255,
6255,1356,f,300,660,290,1428.6000,0.0048,0.0000,21.0000,20.9079,100,A,0,0.0000,290,0.0000,0.0000,2900.0000,0.0000,0.0000,0.0000,0.0000,0.0000,290,0,0,0,"<LineString><coordinates>-111.919622,40.565886,0.0 -111.924110,40.567192,0.0</coordinates></LineString>",6255,1356,
1356,6256,f,300,660,349,1428.6000,0.0058,0.0235,21.0000,0.4980,2,F,0,0.0000,349,0.0000,0.0000,3490.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349,0,0,0,"<LineString><coordinates>-111.924111,40.567193,0.0 -111.929136,40.568059,0.0</coordinates></LineString>",1356,6256,
6256,1356,f,300,660,386,1428.6000,0.0064,0.0000,21.0000,20.9168,100,A,0,0.0000,386,0.0000,0.0000,3860.0000,0.0000,0.0000,0.0000,0.0000,0.0000,386,0,0,0,"<LineString><coordinates>-111.929142,40.568028,0.0 -111.924117,40.567162,0.0</coordinates></LineString>",6256,1356,
1356,11183,f,300,660,42,1428.6000,0.0007,0.0588,21.0000,21.0000,100,A,0,0.0000,42,0.0000,0.0000,420.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42,0,0,0,"<LineString><coordinates>-111.924098,40.567175,0.0 -111.923391,40.572474,0.0</coordinates></LineString>",1356,11183,
11183,1356,f,300,660,138,1428.6000,0.0023,0.0000,21.0000,20.8233,99,A,0,0.0000,138,0.0000,0.0000,1380.0000,0.0000,0.0000,0.0000,0.0000,0.0000,138,0,0,0,"<LineString><coordinates>-111.923422,40.572479,0.0 -111.924129,40.567180,0.0</coordinates></LineString>",11183,1356,
1356,11259,f,300,660,87,1428.6000,0.0014,0.0314,21.0000,0.2753,1,F,0,0.0000,87,0.0000,0.0000,870.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87,0,0,0,"<LineString><coordinates>-111.924128,40.567185,0.0 -111.926751,40.562016,0.0</coordinates></LineString>",1356,11259,
