origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
31,8,277,40,526.698,3.7086
31,9,80,11,486.242,3.75943
31,10,82,12,543.163,3.59886
31,11,2,1,35.5439,3.64268
31,12,4,4,57.1138,2.74803
31,13,6,6,55.1805,2.42703
31,19,41,41,126.659,2.64818
31,21,23,7,433.571,3.9438
31,28,47,26,315.505,3.08198
31,30,18,10,316.832,3.46839
31,40,41,41,49.0976,2.48672
33,1,287,167,257.416,4.303
33,2,135,92,232.748,3.3733
33,3,344,244,228.403,1.8662
33,4,76,76,117.955,0.9021
33,5,76,76,73.7895,0.9189
33,6,78,78,74.95,1.293
33,7,80,80,77.025,1.5955
33,8,99,99,351.853,2.7004
33,9,2,2,395.132,2.7656
33,10,4,1,649.292,2.8585
33,11,6,2,66.8754,3.72528
33,12,8,4,191.57,4.75246
33,13,10,7,270.623,4.6524
33,19,10,10,69.8,0.504
33,21,56,56,240.718,2.5219
33,28,22,8,359.489,3.7256
33,30,20,2,541,3.23916
33,40,140,91,232.094,4.58405
35,1,306,213,364.456,1.35826
35,2,82,82,29.2927,1.5187
35,3,102,84,150.31,2.62136
35,4,102,83,156.465,3.67866
35,5,80,66,160.96,4.38906
35,6,82,67,158.798,4.76316
35,7,2,2,209.077,5.06566
0,0,6,0,0,0
35,9,6,1,681.577,4.51887
0,0,8,0,0,0
35,11,10,5,407.022,3.85788
35,12,12,12,41.0083,2.2821
35,13,14,14,36.1429,2.18204
35,19,35,29,162.534,3.97416
0,0,3,0,0,0
35,28,100,45,364.579,3.8582
35,30,23,10,353.425,4.05018
35,40,12,12,33.1667,2.1137
37,1,369,369,236.675,3.42404
37,2,229,229,175.037,2.50034
37,3,83,83,148.811,0.979066
37,4,85,85,84.0694,1.08514
37,5,2,2,78.1652,1.7628
37,6,4,4,73.6721,1.8839
37,7,6,6,104.847,2.13385
37,8,34,10,577.62,2.44963
37,9,10,2,674.455,2.33313
37,10,12,4,677.885,2.39282
37,11,14,12,337.542,2.21348
37,12,16,16,220.5,3.90471
37,13,18,18,202,3.74695
37,19,58,58,42.931,1.13787
37,21,39,28,291.875,2.63754
37,28,29,21,295.952,2.25113
37,30,13,8,413.75,2.34714
37,40,31,31,194.161,3.71364
39,1,384,31,449.308,5.5005
39,2,106,10,506.017,4.5708
39,3,24,2,480.2,3.0637
39,4,11,1,49.5,2.1085
39,5,6,3,473.444,2.89363
39,6,8,3,474.485,3.26773
39,7,10,2,441.091,2.57203
39,8,14,4,537,0.83373
39,9,14,4,535,0.89893
39,10,16,4,509.853,0.7315
39,11,18,1,192.942,1.66042
39,12,20,1,236,2.62802
39,13,22,1,218.609,3.17856
39,19,17,4,379,1.8517
39,21,49,13,458.892,1.43543
39,28,2,1,795.146,0.83033
39,30,167,30,458.208,1.11216
39,40,6,2,49.6443,3.41182
41,1,464,464,43.2414,0.624499
41,2,5,5,38.3503,1.7046
41,3,6,6,195.483,3.1999
41,4,9,9,193.067,4.2572
41,5,10,10,210.22,4.9676
41,6,12,12,209.833,5.3417
41,7,14,14,213.857,5.6442
41,8,18,2,714.263,5.65477
41,9,18,2,714.263,5.71997
41,10,20,2,706,5.55254
41,11,22,11,361.689,5.05898
41,12,24,24,60.8333,3.20365
41,13,26,26,55.5385,3.10359
41,19,4,4,216.24,4.5527
41,21,4,2,387.225,5.97764
41,28,6,2,344.493,5.0593
41,30,5,2,315.387,5.25128
41,40,7,7,56.4056,2.71149
