agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
175,0,2,19,11123,1352,428.29,452.00,23.71,1,1,1,20.00,1,5,3.37,
176,0,14,11,5037,5119,428.29,460.10,31.81,1,1,1,5.00,1,5,2.96,
177,0,14,8,5037,10847,428.29,466.00,37.71,1,1,1,30.00,1,10,4.09,
178,0,26,10,1323,5929,428.40,446.00,17.60,1,1,1,15.00,1,15,2.01,
179,0,26,4,1323,11180,428.40,444.00,15.60,1,1,1,5.00,1,5,2.16,
180,0,31,6,8116,5238,428.40,450.00,21.60,1,1,1,20.00,1,10,3.73,
181,0,24,12,1325,11151,428.40,446.00,17.60,1,1,1,30.00,2,15,1.44,
182,0,10,1,5929,5577,428.48,524.00,95.52,1,1,1,10.00,1,10,5.53,
183,0,37,1,1353,5577,428.51,452.00,23.49,1,1,1,20.00,2,15,3.18,
184,0,24,1,1325,5577,428.51,536.00,107.49,1,1,1,10.00,1,5,4.00,
185,0,14,1,5037,5577,428.56,456.00,27.44,1,1,1,30.00,1,5,2.29,
186,0,28,7,1359,11281,428.63,448.00,19.37,1,1,1,10.00,1,10,2.70,
187,0,12,40,11151,1296,428.63,440.00,11.37,1,1,1,20.00,2,10,1.17,
188,0,31,5,8116,11282,428.63,450.00,21.37,1,1,1,15.00,1,5,3.35,
189,0,14,10,5037,5929,428.63,466.00,37.37,1,1,1,15.00,1,15,3.99,
190,0,26,19,1323,1352,428.63,442.00,13.37,1,1,1,30.00,1,10,1.83,
191,0,10,8,5929,10847,428.63,438.00,9.37,1,1,1,15.00,2,10,0.86,
192,0,24,11,1325,5119,428.63,436.10,7.47,1,1,1,10.00,2,5,0.63,
193,0,26,9,1323,5356,428.63,450.00,21.37,1,1,1,10.00,1,15,2.18,
194,0,22,13,3689,5034,428.63,482.00,53.37,1,1,1,10.00,1,5,3.04,
195,0,26,1,1323,5577,428.68,452.00,23.32,1,1,1,20.00,1,5,2.99,
196,0,31,1,8116,5577,428.72,440.00,11.28,1,1,1,15.00,1,5,2.01,
197,0,33,1,1351,5577,428.75,462.00,33.25,1,1,1,1.00,1,5,4.30,
198,0,26,3,1323,11159,428.75,438.00,9.25,1,1,1,15.00,1,5,1.10,
199,0,22,12,3689,11151,428.87,474.00,45.13,1,1,1,20.00,1,15,2.49,
200,0,20,3,1356,11159,428.87,448.00,19.13,1,1,1,20.00,2,5,2.36,
201,0,18,3,1286,11159,428.87,452.00,23.13,1,1,1,10.00,1,15,3.48,
202,0,24,10,1325,5929,428.87,452.00,23.13,1,1,1,20.00,1,5,1.83,
203,0,28,6,1359,5238,428.87,452.00,23.13,1,1,1,5.00,1,10,3.40,
204,0,12,4,11151,11180,428.94,474.00,45.06,1,1,1,20.00,2,15,4.46,
205,0,33,40,1351,1296,428.94,464.00,35.06,1,1,1,30.00,1,10,4.58,
206,0,18,1,1286,5577,428.94,436.00,7.06,1,1,1,5.00,1,10,0.90,
207,0,12,2,11151,11123,429.00,450.00,21.00,1,1,1,10.00,1,0,2.30,
208,0,24,3,1325,11159,429.00,460.00,31.00,1,1,1,15.00,1,15,2.66,
209,0,14,9,5037,5356,429.00,468.00,39.00,1,1,1,10.00,2,10,4.16,
210,0,2,40,11123,1296,429.00,444.00,15.00,1,1,1,15.00,1,10,2.13,
211,0,31,8,1314,10847,429.06,476.00,46.94,1,1,1,30.00,1,5,4.24,
212,0,4,21,11180,6253,429.09,448.00,18.91,1,1,1,30.00,1,5,2.92,
213,0,18,28,1286,1359,429.09,476.00,46.91,1,1,1,20.00,1,10,5.34,
214,0,4,19,11180,1352,429.10,434.00,4.90,1,1,1,1.00,1,10,0.90,
215,0,22,11,3689,5119,429.13,472.10,42.97,1,1,1,30.00,1,5,1.52,
216,0,2,4,11123,11180,429.13,450.10,20.97,1,1,1,10.00,1,10,3.08,
217,0,24,9,1325,5356,429.13,456.00,26.87,1,1,1,15.00,1,5,1.99,
218,0,16,8,11827,10847,429.13,494.00,64.87,1,1,1,20.00,1,10,4.78,
219,0,33,3,1351,11159,429.13,440.00,10.87,1,1,1,15.00,2,5,1.87,
220,0,28,5,1359,11282,429.13,454.00,24.87,1,1,1,10.00,1,5,3.02,
221,0,26,7,1323,11281,429.13,444.00,14.87,1,1,1,5.00,1,10,2.42,
222,0,20,13,1356,5034,429.13,460.00,30.87,1,1,1,10.00,1,10,4.55,
223,0,20,1,1356,5577,429.16,476.00,46.84,1,1,1,10.00,1,5,4.80,
224,0,33,2,1351,11123,429.26,452.00,22.74,1,1,1,60.00,1,10,3.37,
225,0,22,10,3689,5929,429.40,436.00,6.60,1,1,1,15.00,2,10,0.60,
226,0,26,6,1323,5238,429.40,448.00,18.60,1,1,1,20.00,1,15,3.25,
227,0,20,12,1356,11151,429.40,538.00,108.60,1,1,1,10.00,1,15,3.70,
228,0,8,3,10847,11159,429.40,500.00,70.60,1,1,1,10.00,1,5,3.20,
229,0,41,1,5578,5577,429.48,434.00,4.52,1,1,1,5.00,1,5,0.62,
230,0,4,1,11180,5577,429.55,464.00,34.45,1,1,1,15.00,1,5,4.01,
231,0,22,1,3689,5577,429.57,538.00,108.43,1,1,1,15.00,2,5,5.37,
232,0,4,8,11180,10847,429.59,452.00,22.41,1,1,1,5.00,1,15,3.10,
233,0,10,2,5929,11123,429.62,500.00,70.38,1,1,1,10.00,1,15,4.60,
234,0,12,1,11151,5577,429.69,476.00,46.31,1,1,1,10.00,1,15,2.95,
235,0,20,11,1356,5119,429.69,522.10,92.41,1,1,1,30.00,1,5,2.74,
236,0,24,7,1325,11281,429.69,464.00,34.31,1,1,1,20.00,2,10,3.48,
237,0,10,3,5929,11159,429.69,490.00,60.31,1,1,1,20.00,1,5,3.09,
238,0,2,1,11123,5577,429.69,438.00,8.31,1,1,1,10.00,1,10,1.45,
239,0,22,9,3689,5356,429.69,434.00,4.31,1,1,1,20.00,1,15,0.52,
240,0,26,5,1323,11282,429.69,450.00,20.31,1,1,1,30.00,1,10,2.87,
241,0,8,1,10847,5577,429.69,556.00,126.31,1,1,1,30.00,2,15,5.63,
242,0,18,13,1286,5034,429.69,456.00,26.31,1,1,1,20.00,1,10,2.88,
243,0,28,4,1359,11180,429.77,470.00,40.23,1,1,1,30.00,1,0,2.86,
244,0,18,4,1286,11180,429.77,458.10,28.33,1,1,1,10.00,1,15,4.54,
245,0,14,1,5037,5577,429.79,460.00,30.21,1,1,1,30.00,1,10,2.29,
246,0,39,1,1404,5577,429.82,546.10,116.28,1,1,1,30.00,1,15,5.50,
247,0,22,4,3689,11180,429.84,454.00,24.16,1,1,1,30.00,1,0,2.40,
248,0,14,7,5037,11281,429.84,476.00,46.16,1,1,1,1.00,1,5,5.37,
249,0,22,2,3689,11123,429.84,508.00,78.16,1,1,1,10.00,1,0,4.44,
250,0,24,1,1325,5577,429.93,558.00,128.07,1,1,1,30.00,1,5,4.00,
251,0,16,3,11827,11159,429.95,456.00,26.05,1,1,1,15.00,1,10,2.95,
252,0,20,10,1357,5929,430.00,444.00,14.00,1,1,1,15.00,1,5,1.74,
253,0,24,6,1325,5238,430.00,472.00,42.00,1,1,1,15.00,2,5,4.23,
254,0,18,12,1286,11151,430.00,458.00,28.00,1,1,1,15.00,1,5,2.98,
255,0,14,30,5037,1360,430.00,472.00,42.00,1,1,1,10.00,1,5,3.16,
256,0,14,21,5037,6253,430.00,474.00,44.00,1,1,1,15.00,2,5,4.69,
257,0,16,1,11827,5577,430.20,440.00,9.80,1,1,1,5.00,1,5,0.90,
258,0,37,1,1353,5577,430.22,454.00,23.78,1,1,1,5.00,2,5,3.18,
259,0,14,19,5037,1352,430.24,480.00,49.76,1,1,1,10.00,1,10,5.28,
260,0,35,1,1290,5577,430.26,440.00,9.74,1,1,1,15.00,1,15,1.36,
261,0,22,7,3689,11281,430.33,446.00,15.67,1,1,1,30.00,1,5,2.19,
262,0,16,13,11827,5034,430.33,454.00,23.67,1,1,1,10.00,1,15,2.33,
263,0,28,30,1359,1360,430.33,438.00,7.67,1,1,1,5.00,1,10,0.54,
264,0,12,3,11151,11159,430.33,466.00,35.67,1,1,1,10.00,1,5,3.40,
265,0,18,11,1286,5119,430.33,480.00,49.67,1,1,1,10.00,1,10,4.35,
266,0,18,30,1286,1360,430.33,488.00,57.67,1,1,1,10.00,1,10,4.54,
267,0,14,6,5037,5238,430.33,482.00,51.67,1,1,1,20.00,1,0,6.07,
268,0,24,5,1325,11282,430.33,474.00,43.67,1,1,1,30.00,1,0,3.86,
269,0,20,9,1357,5356,430.33,438.00,7.67,1,1,1,5.00,1,10,1.19,
270,0,26,1,1323,5577,430.41,454.10,23.69,1,1,1,20.00,1,5,2.99,
271,0,20,2,1357,11123,430.41,466.00,35.59,1,1,1,30.00,2,15,4.43,
272,0,18,2,1286,11123,430.41,440.00,9.59,1,1,1,10.00,1,15,1.98,
273,0,6,1,5238,5577,430.46,472.00,41.54,1,1,1,20.00,1,5,5.09,
274,0,16,28,11827,1359,430.50,474.00,43.50,1,1,1,15.00,2,15,3.98,
275,0,10,1,5929,5577,430.61,544.00,113.39,1,1,1,10.00,1,5,5.53,
276,0,20,40,1357,1296,430.68,552.00,121.32,1,1,1,30.00,1,5,4.42,
277,0,6,8,5238,10847,430.68,448.00,17.32,1,1,1,5.00,1,5,2.69,
278,0,37,19,1353,1352,430.68,440.00,9.32,1,1,1,5.00,1,5,1.60,
279,0,28,1,1359,5577,430.72,500.00,69.28,1,1,1,30.00,1,15,4.81,
280,0,31,4,8116,11180,430.77,448.00,17.23,1,1,1,20.00,1,5,2.64,
281,0,18,8,1286,10847,430.77,594.00,163.23,1,1,1,5.00,1,15,5.93,
282,0,41,1,5578,5577,430.84,434.00,3.16,1,1,1,5.00,1,10,0.62,
283,0,14,5,5037,11282,430.86,486.00,55.14,1,1,1,5.00,1,5,5.69,
284,0,20,4,1357,11180,430.86,450.00,19.14,1,1,1,30.00,1,10,1.96,
285,0,16,21,11827,6253,430.86,468.00,37.14,1,1,1,15.00,2,10,5.11,
286,0,31,1,8116,5577,430.90,442.00,11.10,1,1,1,15.00,1,15,2.01,
287,0,33,1,1351,5577,430.94,464.00,33.06,1,1,1,5.00,1,15,4.30,
288,0,14,3,5037,11159,430.96,476.00,45.04,1,1,1,30.00,1,5,3.93,
289,0,33,3,1351,11159,430.96,442.00,11.04,1,1,1,5.00,1,5,1.87,
290,0,22,30,3689,1360,430.96,454.00,23.04,1,1,1,15.00,1,10,0.98,
291,0,8,40,10847,1296,430.96,520.00,89.04,1,1,1,20.00,1,10,3.54,
292,0,37,2,1353,11123,430.96,448.00,17.04,1,1,1,30.00,1,5,2.25,
293,0,14,1,5037,5577,431.01,462.10,31.09,1,1,1,30.00,1,5,2.29,
294,0,18,10,1286,5929,431.05,594.00,162.95,1,1,1,1.00,1,0,5.83,
295,0,33,21,1351,6253,431.05,448.00,16.95,1,1,1,10.00,1,5,2.52,
296,0,22,6,3689,5238,431.05,450.00,18.95,1,1,1,1.00,2,15,2.89,
