time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
939,830,261,569,89,8.24526,
940,1030,342,688,200,8.79175,
941,1111,426,685,81,9.63408,
942,1199,497,702,88,10.2506,
943,1286,571,715,87,10.1515,
944,1365,657,708,79,9.98666,
945,1485,760,725,120,11.4698,
946,1599,835,764,114,10.7333,
947,1708,926,782,109,12.3689,
948,1805,1015,790,97,13.2825,
949,1893,1090,803,88,13.2377,
950,2029,1176,853,136,12.1431,
951,2187,1247,940,158,14.5601,
952,2289,1331,958,102,17.7923,
953,2366,1424,942,77,15.8711,
954,2497,1501,996,131,15.111,
955,2615,1588,1027,118,18.8553,
956,2712,1679,1033,97,18.4808,
957,2821,1756,1065,109,19.9237,
958,2909,1830,1079,88,20.6187,
959,2963,1908,1055,54,24.479,
960,3123,2006,1117,160,24.2838,
961,3220,2081,1139,97,21.4707,
962,3396,2177,1219,176,25.2189,
963,3479,2250,1229,83,19.7176,
964,3574,2324,1250,95,29.3896,
965,3673,2412,1261,99,26.4825,
966,3766,2498,1268,93,38.7607,
967,3904,2581,1323,138,19.4059,
968,3999,2657,1342,95,32.8802,
969,4049,2737,1312,50,31.6139,
970,4216,2816,1400,167,32.7009,
971,4294,2908,1386,78,28.1765,
972,4420,2982,1438,126,35.0249,
973,4563,3052,1511,143,33.961,
974,4634,3128,1506,71,31.7432,
975,4765,3219,1546,131,40.6261,
976,4863,3300,1563,98,39.0792,
977,4940,3372,1568,77,26.8495,
978,5077,3455,1622,137,38.4704,
979,5170,3532,1638,93,39.0795,
980,5306,3608,1698,136,40.1402,
981,5414,3670,1744,108,40.6462,
982,5511,3754,1757,97,44.3176,
983,5600,3832,1768,89,34.0194,
984,5755,3913,1842,155,43.8141,
985,5855,4005,1850,100,44.6684,
986,5982,4079,1903,127,39.9091,
987,6075,4167,1908,93,44.1013,
988,6159,4253,1906,84,42.1858,
989,6188,4325,1863,29,46.2352,
990,6411,4409,2002,223,45.935,
991,6473,4489,1984,62,52.7756,
992,6585,4551,2034,112,43.1422,
993,6686,4624,2062,101,40.3455,
994,6816,4702,2114,130,50.7678,
995,6965,4785,2180,149,50.4774,
996,7039,4854,2185,74,52.1299,
997,7166,4937,2229,127,46.8619,
998,7269,5011,2258,103,50.2812,
999,7369,5091,2278,100,46.0409,
1000,7498,5156,2342,129,53.9486,
1001,7566,5226,2340,68,44.4909,
1002,7691,5296,2395,125,49.4617,
1003,7797,5366,2431,106,50.2861,
1004,7881,5439,2442,84,51.8446,
1005,7992,5498,2494,111,56.0994,
1006,8142,5564,2578,150,50.2219,
1007,8257,5623,2634,115,54.9482,
1008,8354,5685,2669,97,54.3482,
1009,8408,5749,2659,54,41.5575,
1010,8579,5821,2758,171,51.4455,
1011,8687,5882,2805,108,58.2576,
1012,8795,5943,2852,108,48.5009,
1013,8901,6008,2893,106,49.7426,
1014,9009,6072,2937,108,54.9453,
1015,9133,6131,3002,124,52.3843,
1016,9208,6201,3007,75,51.887,
1017,9360,6260,3100,152,49.295,
1018,9487,6339,3148,127,49.6967,
1019,9541,6406,3135,54,43.5877,
1020,9717,6473,3244,176,53.4378,
1021,9801,6534,3267,84,45.7583,
1022,9916,6611,3305,115,47.9464,
1023,10005,6691,3314,89,56.3754,
1024,10120,6745,3375,115,49.0804,
1025,10185,6804,3381,65,49.5434,
1026,10300,6862,3438,115,55.7977,
1027,10419,6916,3503,119,48.619,
1028,10575,6987,3588,156,48.7729,
1029,10652,7057,3595,77,47.5382,
1030,10777,7124,3653,125,48.6087,
1031,10880,7178,3702,103,50.7601,
1032,11015,7238,3777,135,50.3528,
1033,11090,7294,3796,75,47.3271,
1034,11210,7359,3851,120,49.6777,
1035,11346,7425,3921,136,45.2212,
1036,11431,7493,3938,85,42.1812,
1037,11522,7566,3956,91,47.2017,
1038,11613,7610,4003,91,47.2842,
1039,11767,7671,4096,154,42.2891,
1040,11895,7723,4172,128,44.4908,
1041,11994,7785,4209,99,45.4452,
1042,12123,7840,4283,129,54.3225,
1043,12221,7901,4320,98,35.2279,
1044,12333,7961,4372,112,47.9198,
1045,12419,8027,4392,86,41.3383,
1046,12492,8088,4404,73,46.5368,
1047,12563,8156,4407,71,47.9829,
1048,12612,8212,4400,49,45.7178,
1049,12634,8257,4377,22,33.9171,
1050,12638,8313,4325,4,0,
1051,12638,8377,4261,0,0,
1052,12638,8436,4202,0,0,
1053,12638,8489,4149,0,0,
1054,12638,8541,4097,0,0,
1055,12638,8597,4041,0,0,
1056,12638,8659,3979,0,0,
1057,12638,8708,3930,0,0,
1058,12638,8760,3878,0,0,
1059,12638,8817,3821,0,0,
1060,12638,8858,3780,0,0,
1061,12638,8913,3725,0,0,
1062,12638,8951,3687,0,0,
1063,12638,9005,3633,0,0,
1064,12638,9052,3586,0,0,
1065,12638,9106,3532,0,0,
1066,12638,9165,3473,0,0,
1067,12638,9215,3423,0,0,
1068,12638,9266,3372,0,0,
1069,12638,9320,3318,0,0,
1070,12638,9375,3263,0,0,
1071,12638,9428,3210,0,0,
1072,12638,9480,3158,0,0,
1073,12638,9537,3101,0,0,
1074,12638,9590,3048,0,0,
1075,12638,9638,3000,0,0,
1076,12638,9692,2946,0,0,
1077,12638,9742,2896,0,0,
1078,12638,9798,2840,0,0,
1079,12638,9840,2798,0,0,
1080,12638,9897,2741,0,0,
1081,12638,9943,2695,0,0,
1082,12638,9993,2645,0,0,
1083,12638,10050,2588,0,0,
1084,12638,10098,2540,0,0,
1085,12638,10154,2484,0,0,
1086,12638,10211,2427,0,0,
1087,12638,10259,2379,0,0,
1088,12638,10302,2336,0,0,
1089,12638,10352,2286,0,0,
1090,12638,10404,2234,0,0,
1091,12638,10449,2189,0,0,
1092,12638,10503,2135,0,0,
1093,12638,10544,2094,0,0,
1094,12638,10597,2041,0,0,
1095,12638,10641,1997,0,0,
1096,12638,10686,1952,0,0,
1097,12638,10725,1913,0,0,
1098,12638,10770,1868,0,0,
1099,12638,10814,1824,0,0,
1100,12638,10863,1775,0,0,
1101,12638,10910,1728,0,0,
1102,12638,10957,1681,0,0,
1103,12638,11004,1634,0,0,
1104,12638,11044,1594,0,0,
1105,12638,11087,1551,0,0,
1106,12638,11131,1507,0,0,
1107,12638,11170,1468,0,0,
1108,12638,11220,1418,0,0,
1109,12638,11270,1368,0,0,
1110,12638,11303,1335,0,0,
1111,12638,11344,1294,0,0,
1112,12638,11391,1247,0,0,
1113,12638,11427,1211,0,0,
1114,12638,11470,1168,0,0,
1115,12638,11504,1134,0,0,
1116,12638,11538,1100,0,0,
1117,12638,11572,1066,0,0,
1118,12638,11599,1039,0,0,
1119,12638,11622,1016,0,0,
1120,12638,11649,989,0,0,
1121,12638,11675,963,0,0,
1122,12638,11710,928,0,0,
1123,12638,11737,901,0,0,
1124,12638,11757,881,0,0,
1125,12638,11784,854,0,0,
1126,12638,11816,822,0,0,
1127,12638,11841,797,0,0,
1128,12638,11869,769,0,0,
1129,12638,11886,752,0,0,
1130,12638,11908,730,0,0,
