movement_index,three-node key,count
439,5114;11173;1354,16
440,5114;11173;5219,545
441,5114;5589;1322,48
442,5114;5589;1353,33
443,5114;5589;5112,466
444,5114;5592;1,1589
445,5117;11255;5118,889
446,5117;1358;3000,1070
447,5117;5106;4804,389
448,5117;5;4,723
449,5118;10854;7210,144
450,5118;11255;5117,267
451,5118;11910;10853,596
452,5118;5727;5119,1153
453,5119;5727;5118,440
454,5174;5587;10857,5
455,5174;5587;11259,92
456,5174;5868;5216,522
457,5174;5868;6253,495
458,5175;11257;11184,50
459,5175;11257;1404,36
460,5175;11507;3689,287
461,5175;11507;5216,880
462,5175;5729;5728,70
463,5175;5729;5929,56
464,5175;6185;1359,84
465,5175;6185;8172,954
466,5208;11261;1352,1
467,5208;11261;1397,139
468,5208;11261;5214,787
469,5208;5209;1351,21
470,5208;5209;1352,31
471,5208;5209;5211,487
472,5209;5208;11261,262
473,5209;5208;11282,99
474,5209;5208;5238,125
475,5209;5211;11180,3
476,5209;5211;11181,38
477,5209;5211;5210,645
478,5210;11172;1346,23
479,5210;11172;1353,19
480,5210;11172;5112,910
481,5210;5211;11180,16
482,5210;5211;11181,498
483,5210;5211;5209,699
484,5211;11181;11182,558
485,5211;5209;1351,81
486,5211;5209;1352,181
487,5211;5209;5208,450
488,5211;5210;11172,737
489,5211;5210;1348,19
490,5211;5210;1349,17
491,5214;11259;1356,20
492,5214;11259;5587,995
493,5214;11261;1352,23
494,5214;11261;1397,101
495,5214;11261;5208,126
496,5214;6256;1352,6
497,5214;6256;5232,474
498,5215;11183;1355,4
499,5215;11183;1356,11
500,5215;11183;5232,65
501,5215;5588;11184,704
502,5215;5588;1357,76
503,5215;6255;10857,9
504,5216;11507;3689,64
505,5216;11507;5175,757
506,5216;5868;5174,71
507,5216;5868;6253,184
508,5219;11173;1353,16
509,5219;11173;1354,7
510,5219;11173;5114,569
511,5219;5232;11182,75
512,5219;5232;11183,171
513,5219;5232;6256,327
514,5232;11182;11181,189
515,5232;11183;5215,687
516,5232;5219;11173,447
517,5232;5219;1355,7
518,5232;6256;1352,11
519,5232;6256;1356,100
520,5232;6256;5214,460
521,5238;5208;11261,376
522,5238;5208;11282,8
523,5238;5208;5209,279
524,5240;5009;5863,132
