from_node_id,to_node_id,day_no,starting_time_in_min,ending_time_in_min,travel_time_in_min
1352,5209,0,990,1005,7.56
1352,5209,0,1005,1020,12.51
1352,5209,0,1020,1035,9.22
1352,5209,0,1035,1050,10.23
1353,5589,0,960,975,0.89
1353,5589,0,975,990,0.86
1353,5589,0,990,1005,0.85
1353,5589,0,1005,1020,0.78
1353,5589,0,1020,1035,0.87
1353,5589,0,1035,1050,0.79
1353,11172,0,945,960,0.70
1353,11172,0,960,975,0.80
1353,11172,0,975,990,0.83
1353,11172,0,990,1005,0.81
1353,11172,0,1005,1020,1.12
1353,11172,0,1020,1035,0.90
1353,11172,0,1035,1050,1.15
1354,5592,0,945,960,1.03
1354,5592,0,960,975,1.02
1354,5592,0,975,990,1.02
1354,5592,0,990,1005,1.03
1354,5592,0,1005,1020,1.02
1354,5592,0,1020,1035,1.06
1354,5592,0,1035,1050,1.02
1397,11261,0,1020,1035,5.45
1397,11261,0,1035,1050,7.55
4804,5106,0,930,945,0.55
4804,5106,0,945,960,0.56
4804,5106,0,960,975,0.56
4804,5106,0,975,990,0.57
4804,5106,0,990,1005,0.55
4804,5106,0,1005,1020,0.56
4804,5106,0,1020,1035,0.57
4804,5106,0,1035,1050,0.56
4899,5030,0,960,975,0.58
4899,5030,0,1005,1020,0.59
4899,5030,0,1020,1035,0.59
4952,1289,0,945,960,0.71
4952,1289,0,975,990,0.71
4952,1289,0,990,1005,0.73
4952,1289,0,1005,1020,0.74
4952,1289,0,1020,1035,0.72
4952,1289,0,1035,1050,0.72
4952,1289,0,1065,1080,0.74
4952,1290,0,930,945,0.74
4952,1290,0,945,960,0.74
4952,1290,0,960,975,0.75
4952,1290,0,975,990,0.74
4952,1290,0,990,1005,0.74
4952,1290,0,1020,1035,0.76
4952,1290,0,1035,1050,0.74
4952,1290,0,1050,1065,0.76
4952,1290,0,1065,1080,0.77
4952,1290,0,1080,1095,0.75
4952,5022,0,930,945,0.95
4952,5022,0,945,960,0.96
4952,5022,0,960,975,0.95
4952,5022,0,990,1005,0.96
4952,5022,0,1005,1020,0.95
4952,5022,0,1020,1035,0.95
4952,5022,0,1035,1050,0.95
4952,5440,0,960,975,1.01
4952,5440,0,990,1005,0.97
4952,5440,0,1005,1020,0.98
4952,5440,0,1020,1035,0.99
4952,5440,0,1035,1050,1.30
4952,5440,0,1050,1065,4.77
4958,1299,0,930,945,0.61
4958,1299,0,945,960,0.60
4958,1299,0,960,975,0.60
4958,1299,0,975,990,0.62
4958,1299,0,990,1005,0.58
4958,1299,0,1005,1020,0.59
4958,1299,0,1035,1050,0.59
4958,1299,0,1065,1080,0.63
4958,1299,0,1080,1095,0.65
4958,1299,0,1095,1110,0.63
4958,1299,0,1110,1125,0.62
4958,5030,0,930,945,0.29
4958,5030,0,960,975,0.29
4958,5030,0,990,1005,0.29
5009,5027,0,975,990,0.27
5009,5240,0,990,1005,0.51
5010,4958,0,930,945,0.21
5010,4958,0,945,960,0.22
5010,4958,0,960,975,0.21
5010,4958,0,975,990,0.21
5010,4958,0,990,1005,0.21
5010,4958,0,1005,1020,0.21
5010,4958,0,1020,1035,0.21
5010,4958,0,1035,1050,0.21
5010,5027,0,945,960,0.74
5017,5018,0,930,945,0.72
5017,5018,0,945,960,0.71
5017,5018,0,960,975,0.74
5017,5018,0,975,990,0.71
5017,5018,0,990,1005,0.73
5017,5018,0,1020,1035,0.71
5017,5018,0,1035,1050,0.71
5017,5018,0,1050,1065,0.72
5017,5018,0,1065,1080,0.72
5017,5018,0,1095,1110,0.71
5017,11123,0,930,945,0.50
5017,11123,0,945,960,0.49
5017,11123,0,960,975,0.48
5017,11123,0,975,990,0.48
5017,11123,0,990,1005,0.48
5017,11123,0,1005,1020,0.50
5017,11123,0,1020,1035,0.50
5017,11123,0,1035,1050,0.48
5017,11123,0,1050,1065,0.49
5017,11123,0,1065,1080,0.47
5017,11123,0,1080,1095,0.48
5017,11123,0,1095,1110,0.50
5017,11123,0,1110,1125,0.50
5017,11124,0,930,945,0.63
5017,11124,0,975,990,0.62
5017,11124,0,1035,1050,0.62
5017,11124,0,1050,1065,0.62
5017,11146,0,930,945,1.64
5017,11146,0,945,960,5.27
5017,11146,0,960,975,6.20
5017,11146,0,975,990,6.21
5017,11146,0,990,1005,15.14
5017,11146,0,1005,1020,38.50
5017,11146,0,1020,1035,29.23
5017,11146,0,1035,1050,15.14
5017,11146,0,1050,1065,6.91
5017,11146,0,1065,1080,6.43
5017,11146,0,1080,1095,5.92
5017,11146,0,1095,1110,4.47
5017,11146,0,1110,1125,1.22
5018,1285,0,930,945,0.71
5018,1285,0,945,960,0.72
5018,1285,0,960,975,0.71
5018,1285,0,975,990,0.72
5018,1285,0,990,1005,0.70
5018,1285,0,1005,1020,0.71
5018,1285,0,1020,1035,0.72
5018,1285,0,1035,1050,0.71
5018,1285,0,1050,1065,0.72
5018,1285,0,1065,1080,0.71
5018,1285,0,1080,1095,0.72
5018,1285,0,1095,1110,0.70
5018,1285,0,1110,1125,0.70
5018,1289,0,930,945,0.79
5018,1289,0,945,960,0.80
5018,1289,0,960,975,0.78
5018,1289,0,975,990,0.79
5018,1289,0,990,1005,0.80
5018,1289,0,1005,1020,0.80
5018,1289,0,1020,1035,0.80
5018,1289,0,1035,1050,0.79
5018,1289,0,1050,1065,0.78
5018,1289,0,1065,1080,0.80
5018,1289,0,1080,1095,0.79
5018,1289,0,1095,1110,0.81
5018,1289,0,1110,1125,0.80
5018,5017,0,930,945,1.55
5018,5017,0,945,960,5.64
5018,5017,0,960,975,16.67
5018,5017,0,975,990,29.73
5018,5017,0,990,1005,66.80
5018,5017,0,1005,1020,59.41
5018,5017,0,1020,1035,48.52
5018,5017,0,1035,1050,34.51
5018,5017,0,1050,1065,22.32
5018,5017,0,1065,1080,16.82
5018,5017,0,1080,1095,12.64
5018,5017,0,1095,1110,8.89
5018,5017,0,1110,1125,3.44
5018,5436,0,930,945,0.72
5018,5436,0,945,960,0.73
5018,5436,0,960,975,0.72
5018,5436,0,975,990,0.74
5018,5436,0,990,1005,0.73
5018,5436,0,1005,1020,0.72
5018,5436,0,1050,1065,0.72
5018,5436,0,1065,1080,0.72
5018,5436,0,1080,1095,0.73
5022,4952,0,990,1005,0.96
5022,4952,0,1035,1050,0.95
5022,5524,0,930,945,0.37
5022,5524,0,945,960,0.38
5022,5524,0,960,975,0.38
5022,5524,0,975,990,0.39
5022,5524,0,990,1005,0.37
5022,5524,0,1005,1020,0.36
5022,5524,0,1020,1035,0.38
5022,5524,0,1035,1050,0.37
5022,5524,0,1050,1065,0.35
5022,5524,0,1065,1080,0.36
5022,11124,0,960,975,0.25
5022,11124,0,975,990,0.25
5022,11124,0,1020,1035,0.24
5022,11124,0,1035,1050,0.25
5022,11147,0,930,945,0.24
5022,11147,0,945,960,0.23
5027,5009,0,1005,1020,0.26
5027,11129,0,930,945,0.27
5027,11129,0,945,960,0.26
5027,11129,0,960,975,0.26
5027,11129,0,975,990,0.27
5027,11129,0,990,1005,0.26
5027,11129,0,1005,1020,0.25
5027,11129,0,1020,1035,0.25
5027,11129,0,1035,1050,0.25
5027,11129,0,1095,1110,0.25
5027,11150,0,945,960,0.50
5027,11150,0,960,975,0.51
5027,11150,0,975,990,0.50
5027,11150,0,990,1005,0.52
5027,11150,0,1005,1020,0.51
5027,11150,0,1020,1035,0.52
5027,11150,0,1035,1050,0.51
5030,4899,0,930,945,0.60
5030,4899,0,945,960,0.59
5030,4899,0,960,975,0.61
5030,4899,0,975,990,0.61
5030,4899,0,990,1005,0.62
