movement_index,three-node key,count
322,5017;11146;5736,1437
323,5017;5018;1285,177
324,5017;5018;1289,110
325,5017;5018;5436,1132
326,5018;5017;11123,49
327,5018;5017;11124,172
328,5018;5017;11146,1079
329,5018;5436;11125,296
330,5018;5436;5577,191
331,5018;5436;5578,842
332,5022;11124;1289,3
333,5022;11124;5017,299
334,5022;11147;1319,21
335,5022;11147;5820,591
336,5022;4952;1289,77
337,5022;4952;1290,67
338,5022;4952;5440,106
339,5022;5524;5863,1369
340,5027;11129;1299,59
341,5027;11129;5034,598
342,5027;11150;5109,1030
343,5027;5009;5240,6
344,5027;5009;5863,188
345,5027;5010;4958,394
346,5030;10872;5861,325
347,5030;11128;5037,730
348,5030;4958;1299,40
349,5030;4958;5010,812
350,5034;11129;1299,3
351,5034;11129;5027,228
352,5037;11128;5030,280
353,5103;11161;1322,24
354,5103;11161;1323,50
355,5103;11161;5114,553
356,5103;5820;11147,928
357,5103;5820;1320,25
358,5106;10852;10851,805
359,5106;4804;5109,404
360,5106;5117;1358,339
361,5106;5117;5,31
362,5109;11150;5027,546
363,5109;4804;5106,1175
364,5112;11160;1318,41
365,5112;11160;1322,32
366,5112;11160;5113,1544
367,5112;11172;1346,63
368,5112;11172;1353,38
369,5112;11172;5210,1351
370,5112;5589;1322,20
371,5112;5589;1353,15
372,5112;5589;5114,1320
373,5113;11148;1316,37
374,5113;11148;1320,96
375,5113;11148;5736,1498
376,5113;11160;1318,38
377,5113;11160;1322,73
378,5113;11160;5112,1507
379,5114;11161;1323,52
380,5114;11161;5103,836
381,5114;11173;1354,17
382,5114;11173;5219,258
383,5114;5589;1322,37
384,5114;5589;1353,43
385,5114;5589;5112,351
386,5114;5592;1,1398
387,5117;11255;5118,972
388,5117;1358;3000,1081
389,5117;5106;4804,229
390,5117;5;4,428
391,5118;10854;7210,215
392,5118;11255;5117,181
393,5118;11910;10853,662
394,5118;5727;5119,1161
395,5119;5727;5118,433
396,5174;5587;10857,6
397,5174;5587;11259,177
398,5174;5868;5216,715
399,5174;5868;6253,538
400,5175;11257;11184,40
401,5175;11257;1404,22
402,5175;11507;3689,280
403,5175;11507;5216,729
404,5175;5729;5728,48
405,5175;5729;5929,59
406,5175;6185;1359,77
407,5175;6185;8172,796
408,5208;11261;1397,175
409,5208;11261;5214,1017
410,5208;5209;1351,21
411,5208;5209;1352,31
412,5208;5209;5211,829
413,5209;5208;11261,719
414,5209;5208;11282,111
415,5209;5208;5238,148
416,5209;5211;11180,4
417,5209;5211;11181,34
418,5209;5211;5210,1000
419,5210;11172;1346,21
420,5210;11172;1353,30
421,5210;11172;5112,1207
422,5210;5211;11180,14
423,5210;5211;11181,197
424,5210;5211;5209,1189
425,5211;11181;11182,237
426,5211;5209;1351,80
427,5211;5209;1352,199
428,5211;5209;5208,936
429,5211;5210;11172,1045
430,5211;5210;1348,26
431,5211;5210;1349,14
432,5214;11259;1356,19
433,5214;11259;5587,1234
434,5214;11261;1352,11
435,5214;11261;1397,63
436,5214;11261;5208,234
437,5214;6256;1352,19
438,5214;6256;5232,145
439,5215;11183;1355,3
440,5215;11183;1356,13
441,5215;11183;5232,60
442,5215;5588;11184,314
443,5215;5588;1357,80
444,5215;6255;10857,8
445,5216;11507;3689,68
446,5216;11507;5175,740
447,5216;5868;5174,109
448,5216;5868;6253,141
449,5219;11173;1353,14
450,5219;11173;1354,7
451,5219;11173;5114,415
452,5219;5232;11182,44
453,5219;5232;11183,83
454,5219;5232;6256,173
455,5232;11182;11181,102
456,5232;11183;5215,340
457,5232;5219;11173,266
458,5232;5219;1355,7
459,5232;6256;1352,30
460,5232;6256;1356,88
461,5232;6256;5214,133
462,5238;5208;11261,273
463,5238;5208;11282,7
464,5238;5208;5209,385
