  Iteration,0,direction,link name,link_type,Link from node,->,to node,time start time in min->end time in min,,observed link count,simulated link count, Error:, Simulated flow count -  Obs flow count,Abosolute Percentage Error ,,Lane Flow Error /h=,Capacity ,obs voc,simu VOC
Iteration,10,,1,Minor arterial,Link 5175,->,5729,time 16:30->17:30,Observed and simulated link count,100,70, Error:, -30,30.000 %,Lane Flow Error /h=, -30.000,633.100,0.158,0.111
Iteration,10,,1,Principal arterial,Link 5208,->,5238,time 16:30->17:30,Observed and simulated link count,947,100, Error:, -847,89.440 %,Lane Flow Error /h=, -847.000,929.500,1.019,0.108
Iteration,10,,1,Major arterial,Link 5208,->,11282,time 16:30->17:30,Observed and simulated link count,710,71, Error:, -639,90.000 %,Lane Flow Error /h=, -639.000,857.300,0.828,0.083
Iteration,10,,1,Principal arterial,Link 5209,->,5211,time 16:30->17:30,Observed and simulated link count,869,349, Error:, -520,59.839 %,Lane Flow Error /h=, -260.000,892.000,0.974,0.391
Iteration,10,,1,Principal arterial,Link 5210,->,11172,time 16:30->17:30,Observed and simulated link count,911,473, Error:, -438,48.079 %,Lane Flow Error /h=, -219.000,892.000,1.021,0.530
Iteration,10,,1,Principal arterial,Link 5211,->,5209,time 16:30->17:30,Observed and simulated link count,1304,369, Error:, -935,71.702 %,Lane Flow Error /h=, -467.500,892.000,1.462,0.414
Iteration,10,,1,Minor arterial,Link 5211,->,11180,time 16:30->17:30,Observed and simulated link count,100,15, Error:, -85,85.000 %,Lane Flow Error /h=, -85.000,666.400,0.150,0.023
Iteration,10,,1,Major arterial,Link 5214,->,11261,time 16:30->17:30,Observed and simulated link count,1676,127, Error:, -1549,92.422 %,Lane Flow Error /h=, -774.500,814.400,2.058,0.156
Iteration,10,,1,Minor arterial,Link 5214,->,11281,time 16:30->17:30,Observed and simulated link count,665,71, Error:, -594,89.323 %,Lane Flow Error /h=, -594.000,666.400,0.998,0.107
Iteration,10,,1,Major arterial,Link 5216,->,5868,time 16:30->17:30,Observed and simulated link count,1513,148, Error:, -1365,90.218 %,Lane Flow Error /h=, -682.500,773.600,1.956,0.191
