Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
,,16:45_17:00,4430.34
,,17:00_17:15,1899.87
,,17:15_17:30,792.50
Category,15-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:30_15:45,46.18
,,15:45_16:00,130.31
,,16:00_16:15,185.60
,,16:15_16:30,215.25
,,16:30_16:45,219.49
,,16:45_17:00,221.52
,,17:00_17:15,189.99
,,17:15_17:30,132.08
Category,15-min Departure Time Interval,Total Energy (KJ),
,,15:30_15:45,2154251.50
,,15:45_16:00,3592586.00
,,16:00_16:15,3991957.25
,,16:15_16:30,4552942.50
,,16:30_16:45,4045673.25
,,16:45_17:00,3958986.75
,,17:00_17:15,1677478.13
,,17:15_17:30,774186.00
Category,15-min Departure Time Interval,Total CO2 (g),
,,15:30_15:45,154818.86
,,15:45_16:00,258187.14
,,16:00_16:15,286888.56
,,16:15_16:30,327204.72
,,16:30_16:45,290749.03
,,16:45_17:00,284519.13
,,17:00_17:15,120554.76
,,17:15_17:30,55638.16
Category,15-min Departure Time Interval,Total NOx (g),
,,15:30_15:45,19.16
,,15:45_16:00,16.01
,,16:00_16:15,20.80
,,16:15_16:30,12.84
,,16:30_16:45, 9.34
,,16:45_17:00,14.12
,,17:00_17:15, 3.02
,,17:15_17:30, 3.46
Category,15-min Departure Time Interval,Total CO (g),
,,15:30_15:45,837.13
,,15:45_16:00,778.37
,,16:00_16:15,676.35
,,16:15_16:30,748.01
,,16:30_16:45,662.42
,,16:45_17:00,615.21
,,17:00_17:15,268.13
,,17:15_17:30,135.98
Category,15-min Departure Time Interval,Total HC (g),
,,15:30_15:45, 6.72
,,15:45_16:00, 5.73
,,16:00_16:15, 6.84
,,16:15_16:30, 4.38
,,16:30_16:45, 3.38
,,16:45_17:00, 4.70
,,17:00_17:15, 1.07
,,17:15_17:30, 1.12
Category,15-min Departure Time Interval,Total Gallon,
,,15:30_15:45,17.70
,,15:45_16:00,29.52
,,16:00_16:15,32.80
,,16:15_16:30,37.41
,,16:30_16:45,33.24
,,16:45_17:00,32.53
,,17:00_17:15,13.78
,,17:15_17:30, 6.36
Category,15-min Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:30_15:45,44468.16
,,15:45_16:00,84752.37
,,16:00_16:15,114646.49
,,16:15_16:30,125309.40
,,16:30_16:45,127254.82
,,16:45_17:00,130754.54
,,17:00_17:15,110805.09
,,17:15_17:30,85230.86
Category,15-min Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:30_15:45,3195.78
,,15:45_16:00,6090.87
,,16:00_16:15,8239.26
,,16:15_16:30,9005.57
,,16:30_16:45,9145.38
,,16:45_17:00,9396.89
,,17:00_17:15,7963.19
,,17:15_17:30,6125.26
Category,15-min Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:30_15:45, 0.40
,,15:45_16:00, 0.38
,,16:00_16:15, 0.60
,,16:15_16:30, 0.35
,,16:30_16:45, 0.29
,,16:45_17:00, 0.47
,,17:00_17:15, 0.20
,,17:15_17:30, 0.38
Category,15-min Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:30_15:45,17.28
,,15:45_16:00,18.36
,,16:00_16:15,19.42
,,16:15_16:30,20.59
,,16:30_16:45,20.84
,,16:45_17:00,20.32
,,17:00_17:15,17.71
,,17:15_17:30,14.97
Category,15-min Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:30_15:45, 0.14
,,15:45_16:00, 0.14
,,16:00_16:15, 0.20
,,16:15_16:30, 0.12
,,16:30_16:45, 0.11
,,16:45_17:00, 0.16
,,17:00_17:15, 0.07
,,17:15_17:30, 0.12
Category,15-min Departure Time Interval,Avg Miles per Gallon,
,,15:30_15:45, 2.74
,,15:45_16:00, 1.44
,,16:00_16:15, 1.06
,,16:15_16:30, 0.97
,,16:30_16:45, 0.96
,,16:45_17:00, 0.93
,,17:00_17:15, 1.10
,,17:15_17:30, 1.43
Category,30-min Departure Time Interval,Number of Vehicles,
,,15:30_16:00,60.00
,,16:00_16:30,47.00
,,16:30_17:00,41.00
,,17:00_17:30,16.00
Category,30-min Departure Time Interval,Cumulative Number of Vehicles,
,,15:30_16:00,60.00
,,16:00_16:30,107.00
,,16:30_17:00,148.00
,,17:00_17:30,164.00
