Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
Category,Distance Bin (1 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,2_3,128.60
,,3_4,190.99
,,4_5,85.00
,,5_6,103.55
Category,Distance Bin (1 ml Interval),Total Energy (KJ),
,,2_3,7554702.50
,,3_4,15806820.00
,,4_5,605564.19
,,5_6,780977.00
Category,Distance Bin (1 ml Interval),Total CO2 (g),
,,2_3,542931.19
,,3_4,1135982.88
,,4_5,43519.88
,,5_6,56126.21
Category,Distance Bin (1 ml Interval),Total NOx (g),
,,2_3,26.54
,,3_4,63.46
,,4_5, 2.91
,,5_6, 5.84
Category,Distance Bin (1 ml Interval),Total CO (g),
,,2_3,1401.09
,,3_4,2859.51
,,4_5,195.84
,,5_6,265.17
Category,Distance Bin (1 ml Interval),Total HC (g),
,,2_3, 9.02
,,3_4,21.66
,,4_5, 1.22
,,5_6, 2.05
Category,Distance Bin (1 ml Interval),Total Gallon,
,,2_3,62.08
,,3_4,129.88
,,4_5, 4.98
,,5_6, 6.42
Category,Distance Bin (1 ml Interval),Avg Energy (KJ/vehicle/mile),
,,2_3,80487.48
,,3_4,116012.46
,,4_5,66667.13
,,5_6,85978.49
Category,Distance Bin (1 ml Interval),Avg CO2 (g/vehicle/mile),
,,2_3,5784.37
,,3_4,8337.42
,,4_5,4791.14
,,5_6,6178.99
Category,Distance Bin (1 ml Interval),Avg NOx (g/vehicle/mile),
,,2_3, 0.28
,,3_4, 0.47
,,4_5, 0.32
,,5_6, 0.64
Category,Distance Bin (1 ml Interval),Avg CO (g/vehicle/mile),
,,2_3,14.93
,,3_4,20.99
,,4_5,21.56
,,5_6,29.19
Category,Distance Bin (1 ml Interval),Avg HC (g/vehicle/mile),
,,2_3, 0.10
,,3_4, 0.16
,,4_5, 0.13
,,5_6, 0.23
Category,Distance Bin (1 ml Interval),Avg Miles per Gallon,
,,2_3, 1.51
,,3_4, 1.05
,,4_5, 1.83
,,5_6, 1.42
Category,Distance Bin (2 ml Interval),Number of Vehicles,
,,2_4,152.00
,,4_6,12.00
Category,Distance Bin (2 ml Interval),Cumulative Number of Vehicles,
,,2_4,152.00
,,4_6,164.00
Category,Distance Bin (2 ml Interval),Total Travel Time (min),
,,2_4,1614.30
,,4_6,174.00
Category,Distance Bin (2 ml Interval),Total Travel Distance (mile),
,,2_4,230.11
,,4_6,18.17
Category,Distance Bin (2 ml Interval),Avg Travel Time (min),
,,2_4,10.62
,,4_6,14.50
Category,Distance Bin (2 ml Interval),Avg Travel Distance (mile),
,,2_4, 1.51
,,4_6, 1.51
Category,Distance Bin (2 ml Interval),Avg Speed (mile/hour),
,,2_4, 8.55
,,4_6, 6.26
Category,Distance Bin (2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,2_4, 7.02
,,4_6, 9.58
Category,Distance Bin (2 ml Interval),Travel Time Index: mean/FFTT,
,,2_4, 4.21
,,4_6, 5.75
Category,Distance Bin (2 ml Interval),Avg Travel Time STD (min),
,,2_4, 8.28
,,4_6, 5.61
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time (min),
,,2_4,26.10
,,4_6,22.00
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time (min),
,,2_4,21.00
,,4_6,21.00
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time (min),
,,2_4,12.90
,,4_6,21.00
Category,Distance Bin (2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,2_4,10.34
,,4_6, 8.72
Category,Distance Bin (2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,2_4, 1.46
,,4_6, 0.52
Category,Distance Bin (2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,2_4,1400.00
,,4_6, 0.75
Category,Distance Bin (2 ml Interval),Travel Time Per Mile STD (min/mile),
,,2_4, 5.47
,,4_6, 3.70
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,2_4,17.24
,,4_6,14.53
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,2_4,13.87
,,4_6,13.87
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,2_4, 8.52
,,4_6,13.87
Category,Distance Bin (2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,2_4,25162.25
,,4_6,1131.32
Category,Distance Bin (2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,2_4,165.54
,,4_6,94.28
Category,Distance Bin (2 ml Interval),Total Energy (KJ),
,,2_4,23361522.00
,,4_6,1386541.25
Category,Distance Bin (2 ml Interval),Total CO2 (g),
,,2_4,1678913.88
,,4_6,99646.08
Category,Distance Bin (2 ml Interval),Total NOx (g),
,,2_4,90.00
,,4_6, 8.75
Category,Distance Bin (2 ml Interval),Total CO (g),
,,2_4,4260.60
,,4_6,461.01
Category,Distance Bin (2 ml Interval),Total HC (g),
,,2_4,30.68
,,4_6, 3.27
Category,Distance Bin (2 ml Interval),Total Gallon,
,,2_4,191.96
,,4_6,11.39
Category,Distance Bin (2 ml Interval),Avg Energy (KJ/vehicle/mile),
,,2_4,101522.00
,,4_6,76322.81
Category,Distance Bin (2 ml Interval),Avg CO2 (g/vehicle/mile),
,,2_4,7296.04
,,4_6,5485.06
Category,Distance Bin (2 ml Interval),Avg NOx (g/vehicle/mile),
,,2_4, 0.39
,,4_6, 0.48
Category,Distance Bin (2 ml Interval),Avg CO (g/vehicle/mile),
,,2_4,18.52
,,4_6,25.38
Category,Distance Bin (2 ml Interval),Avg HC (g/vehicle/mile),
,,2_4, 0.13
,,4_6, 0.18
Category,Distance Bin (2 ml Interval),Avg Miles per Gallon,
,,2_4, 1.20
,,4_6, 1.59
Category,Distance Bin (5 ml Interval),Number of Vehicles,
,,0_5,158.00
,,5_10, 6.00
Category,Distance Bin (5 ml Interval),Cumulative Number of Vehicles,
,,0_5,158.00
,,5_10,164.00
Category,Distance Bin (5 ml Interval),Total Travel Time (min),
,,0_5,1690.30
,,5_10,98.00
Category,Distance Bin (5 ml Interval),Total Travel Distance (mile),
,,0_5,239.20
,,5_10, 9.08
Category,Distance Bin (5 ml Interval),Avg Travel Time (min),
,,0_5,10.70
,,5_10,16.33
Category,Distance Bin (5 ml Interval),Avg Travel Distance (mile),
,,0_5, 1.51
,,5_10, 1.51
Category,Distance Bin (5 ml Interval),Avg Speed (mile/hour),
,,0_5, 8.49
,,5_10, 5.56
Category,Distance Bin (5 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_5, 7.07
,,5_10,10.79
Category,Distance Bin (5 ml Interval),Travel Time Index: mean/FFTT,
,,0_5, 4.24
,,5_10, 6.47
Category,Distance Bin (5 ml Interval),Avg Travel Time STD (min),
,,0_5, 8.19
,,5_10, 5.53
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time (min),
,,0_5,26.10
,,5_10,22.00
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time (min),
,,0_5,21.00
,,5_10,22.00
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time (min),
,,0_5,13.00
,,5_10,21.00
Category,Distance Bin (5 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_5,10.34
,,5_10, 8.72
Category,Distance Bin (5 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_5, 1.44
,,5_10, 0.35
Category,Distance Bin (5 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_5,1400.00
,,5_10, 0.07
Category,Distance Bin (5 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_5, 5.41
,,5_10, 3.65
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_5,17.24
,,5_10,14.53
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_5,13.87
,,5_10,14.53
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_5, 8.59
,,5_10,13.87
Category,Distance Bin (5 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_5,25672.24
,,5_10,621.33
Category,Distance Bin (5 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_5,162.48
,,5_10,103.55
Category,Distance Bin (5 ml Interval),Total Energy (KJ),
,,0_5,23967084.00
,,5_10,780977.00
Category,Distance Bin (5 ml Interval),Total CO2 (g),
,,0_5,1722433.75
,,5_10,56126.21
Category,Distance Bin (5 ml Interval),Total NOx (g),
,,0_5,92.91
,,5_10, 5.84
Category,Distance Bin (5 ml Interval),Total CO (g),
,,0_5,4456.44
,,5_10,265.17
Category,Distance Bin (5 ml Interval),Total HC (g),
,,0_5,31.90
,,5_10, 2.05
Category,Distance Bin (5 ml Interval),Total Gallon,
,,0_5,196.94
,,5_10, 6.42
Category,Distance Bin (5 ml Interval),Avg Energy (KJ/vehicle/mile),
,,0_5,100198.39
,,5_10,85978.49
Category,Distance Bin (5 ml Interval),Avg CO2 (g/vehicle/mile),
,,0_5,7200.92
,,5_10,6178.99
Category,Distance Bin (5 ml Interval),Avg NOx (g/vehicle/mile),
,,0_5, 0.39
,,5_10, 0.64
Category,Distance Bin (5 ml Interval),Avg CO (g/vehicle/mile),
,,0_5,18.63
,,5_10,29.19
Category,Distance Bin (5 ml Interval),Avg HC (g/vehicle/mile),
,,0_5, 0.13
,,5_10, 0.23
Category,Distance Bin (5 ml Interval),Avg Miles per Gallon,
,,0_5, 1.21
,,5_10, 1.42
Category,Distance Bin (10 ml Interval),Number of Vehicles,164.00
Category,Distance Bin (10 ml Interval),Cumulative Number of Vehicles,164.00
Category,Distance Bin (10 ml Interval),Total Travel Time (min),1788.30
Category,Distance Bin (10 ml Interval),Total Travel Distance (mile),248.28
Category,Distance Bin (10 ml Interval),Avg Travel Time (min),10.90
Category,Distance Bin (10 ml Interval),Avg Travel Distance (mile), 1.51
Category,Distance Bin (10 ml Interval),Avg Speed (mile/hour), 8.33
Category,Distance Bin (10 ml Interval),Avg Travel Time Per Mile (min/mile), 7.20
Category,Distance Bin (10 ml Interval),Travel Time Index: mean/FFTT, 4.32
Category,Distance Bin (10 ml Interval),Avg Travel Time STD (min), 8.18
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time (min),26.00
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time (min),21.00
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time (min),15.00
Category,Distance Bin (10 ml Interval),Planning Time Index: 95th percentile/FFTT,10.30
Category,Distance Bin (10 ml Interval),Buffer Index: (95th percentile - mean)/mean, 1.38
Category,Distance Bin (10 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),1400.00
Category,Distance Bin (10 ml Interval),Travel Time Per Mile STD (min/mile), 5.40
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time Per Mile (min/mile),17.17
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time Per Mile (min/mile),13.87
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 9.91
Category,Distance Bin (10 ml Interval),Total Generalized Time:TT+Toll/VOT (min),26293.57
Category,Distance Bin (10 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),160.33
Category,Distance Bin (10 ml Interval),Total Energy (KJ),24748060.00
Category,Distance Bin (10 ml Interval),Total CO2 (g),1778560.00
Category,Distance Bin (10 ml Interval),Total NOx (g),98.75
Category,Distance Bin (10 ml Interval),Total CO (g),4721.61
Category,Distance Bin (10 ml Interval),Total HC (g),33.94
Category,Distance Bin (10 ml Interval),Total Gallon,203.35
Category,Distance Bin (10 ml Interval),Avg Energy (KJ/vehicle/mile),99678.14
Category,Distance Bin (10 ml Interval),Avg CO2 (g/vehicle/mile),7163.53
Category,Distance Bin (10 ml Interval),Avg NOx (g/vehicle/mile), 0.40
Category,Distance Bin (10 ml Interval),Avg CO (g/vehicle/mile),19.02
Category,Distance Bin (10 ml Interval),Avg HC (g/vehicle/mile), 0.14
Category,Distance Bin (10 ml Interval),Avg Miles per Gallon, 1.22
Category,Travel Time Bin (2 min Interval),Number of Vehicles,
,,10_12, 1.00
,,12_14, 4.00
,,14_16, 3.00
,,16_18, 1.00
,,18_20, 1.00
,,20_22, 1.00
,,22_24, 4.00
,,24_26, 1.00
,,26_28, 6.00
,,30_32, 1.00
,,32_34, 3.00
,,34_36, 3.00
,,36_38, 2.00
,,38_40, 1.00
,,40_42, 1.00
,,42_44, 5.00
,,46_48, 3.00
,,48_50, 2.00
,,56_58, 3.00
,,58_60, 1.00
,,60_62, 1.00
,,64_66, 1.00
,,74_76, 1.00
,,76_78, 2.00
,,80_82, 2.00
,,82_84, 2.00
,,94_96, 3.00
,,100_102, 1.00
,,104_106, 2.00
,,106_108, 2.00
,,110_112, 1.00
,,112_114, 1.00
,,114_116, 1.00
,,142_144, 1.00
,,144_146, 1.00
,,146_148, 2.00
,,148_150, 1.00
,,150_152, 2.00
,,152_154, 3.00
,,154_156, 1.00
,,156_158, 1.00
,,158_160, 2.00
,,160_162, 2.00
,,172_174, 2.00
,,178_180, 1.00
,,180_182, 1.00
,,182_184, 1.00
,,184_186, 1.00
,,186_188, 2.00
,,190_192, 2.00
,,192_194, 2.00
,,194_196, 1.00
,,196_198, 1.00
,,198_200, 1.00
,,202_204, 2.00
,,206_208, 2.00
,,210_212, 2.00
,,212_214, 1.00
,,216_218, 2.00
,,218_220, 1.00
,,220_222, 1.00
,,222_224, 1.00
,,224_226, 1.00
,,228_230, 2.00
,,230_232, 2.00
,,234_236, 1.00
,,238_240, 2.00
,,240_242, 1.00
,,242_244, 1.00
,,244_246, 2.00
,,248_250, 2.00
,,252_254, 1.00
,,256_258, 1.00
,,258_260, 1.00
,,260_262, 1.00
,,262_264, 1.00
,,264_266, 1.00
,,266_268, 1.00
,,268_270, 1.00
,,270_272, 1.00
,,272_274, 2.00
,,276_278, 1.00
,,280_282, 1.00
,,282_284, 1.00
,,284_286, 3.00
,,286_288, 1.00
,,288_290, 1.00
,,290_292, 1.00
,,292_294, 1.00
,,296_298, 1.00
,,298_300, 2.00
,,302_304, 1.00
,,306_308, 1.00
,,308_310, 2.00
,,310_312, 1.00
,,312_314, 1.00
,,314_316, 1.00
,,318_320, 1.00
,,322_324, 2.00
,,324_326, 2.00
,,328_330, 1.00
,,336_338, 1.00
,,352_354, 1.00
,,356_358, 1.00
Category,Travel Time Bin (2 min Interval),Cumulative Number of Vehicles,
,,10_12, 1.00
,,12_14, 5.00
,,14_16, 8.00
,,16_18, 9.00
,,18_20,10.00
,,20_22,11.00
,,22_24,15.00
,,24_26,16.00
,,26_28,22.00
,,30_32,23.00
,,32_34,26.00
,,34_36,29.00
,,36_38,31.00
,,38_40,32.00
,,40_42,33.00
,,42_44,38.00
,,46_48,41.00
,,48_50,43.00
,,56_58,46.00
,,58_60,47.00
,,60_62,48.00
,,64_66,49.00
,,74_76,50.00
,,76_78,52.00
,,80_82,54.00
,,82_84,56.00
,,94_96,59.00
,,100_102,60.00
,,104_106,62.00
,,106_108,64.00
,,110_112,65.00
,,112_114,66.00
,,114_116,67.00
,,142_144,68.00
,,144_146,69.00
,,146_148,71.00
,,148_150,72.00
,,150_152,74.00
,,152_154,77.00
,,154_156,78.00
,,156_158,79.00
,,158_160,81.00
,,160_162,83.00
,,172_174,85.00
,,178_180,86.00
,,180_182,87.00
,,182_184,88.00
,,184_186,89.00
,,186_188,91.00
,,190_192,93.00
,,192_194,95.00
,,194_196,96.00
,,196_198,97.00
,,198_200,98.00
,,202_204,100.00
,,206_208,102.00
,,210_212,104.00
,,212_214,105.00
,,216_218,107.00
,,218_220,108.00
,,220_222,109.00
,,222_224,110.00
,,224_226,111.00
,,228_230,113.00
,,230_232,115.00
,,234_236,116.00
,,238_240,118.00
,,240_242,119.00
,,242_244,120.00
,,244_246,122.00
,,248_250,124.00
,,252_254,125.00
,,256_258,126.00
,,258_260,127.00
,,260_262,128.00
,,262_264,129.00
,,264_266,130.00
,,266_268,131.00
,,268_270,132.00
,,270_272,133.00
,,272_274,135.00
,,276_278,136.00
,,280_282,137.00
,,282_284,138.00
,,284_286,141.00
,,286_288,142.00
,,288_290,143.00
,,290_292,144.00
,,292_294,145.00
,,296_298,146.00
,,298_300,148.00
,,302_304,149.00
,,306_308,150.00
,,308_310,152.00
,,310_312,153.00
,,312_314,154.00
,,314_316,155.00
,,318_320,156.00
,,322_324,158.00
,,324_326,160.00
,,328_330,161.00
,,336_338,162.00
,,352_354,163.00
,,356_358,164.00
Category,Travel Time Bin (2 min Interval),Total Travel Time (min),
,,10_12, 7.00
,,12_14,31.00
,,14_16,22.00
,,16_18,11.00
,,18_20, 7.00
,,20_22,13.00
,,22_24,39.90
,,24_26, 7.00
,,26_28,76.90
,,30_32,26.10
,,32_34,45.00
,,34_36,39.90
,,36_38,48.00
,,38_40,12.90
,,40_42,18.00
,,42_44,88.10
,,46_48,79.00
,,48_50,32.00
,,56_58,56.10
,,58_60,17.00
,,60_62,22.00
,,64_66,21.00
,,74_76,22.00
,,76_78,48.00
,,80_82,47.00
,,82_84,48.00
,,94_96,76.00
,,100_102, 7.00
,,104_106,14.00
,,106_108,31.00
,,110_112, 7.00
,,112_114, 7.00
,,114_116, 7.00
,,142_144, 8.00
,,144_146, 8.00
,,146_148,16.00
,,148_150, 8.00
,,150_152,15.90
,,152_154,23.90
,,154_156, 7.90
,,156_158, 8.00
,,158_160,16.00
,,160_162,15.90
,,172_174,70.00
,,178_180, 7.00
,,180_182, 7.00
,,182_184, 7.00
,,184_186, 8.00
,,186_188,14.90
,,190_192,14.00
,,192_194,13.90
,,194_196, 7.00
,,196_198, 7.00
,,198_200, 7.00
,,202_204,14.00
,,206_208,14.00
,,210_212,14.00
,,212_214, 7.00
,,216_218,14.00
,,218_220, 7.00
,,220_222, 7.00
,,222_224, 7.00
,,224_226, 7.00
,,228_230,14.00
,,230_232,14.00
,,234_236, 7.00
,,238_240,15.00
,,240_242, 7.00
,,242_244, 7.00
,,244_246,14.00
,,248_250,14.00
,,252_254, 7.00
,,256_258, 7.00
,,258_260, 7.00
,,260_262, 7.00
,,262_264, 7.00
,,264_266, 7.00
,,266_268, 7.00
,,268_270, 7.00
,,270_272, 7.00
,,272_274,14.00
,,276_278, 7.00
,,280_282, 7.00
,,282_284, 7.00
,,284_286,21.00
,,286_288, 7.00
,,288_290, 7.00
,,290_292, 7.00
,,292_294, 7.00
,,296_298, 7.00
,,298_300,14.00
,,302_304, 7.00
,,306_308, 7.00
,,308_310,14.00
,,310_312, 7.00
,,312_314, 7.00
,,314_316, 7.00
,,318_320, 7.00
,,322_324,14.00
,,324_326,14.00
,,328_330, 7.00
,,336_338, 7.00
,,352_354, 7.00
,,356_358, 8.00
Category,Travel Time Bin (2 min Interval),Total Travel Distance (mile),
,,10_12, 1.51
,,12_14, 6.06
,,14_16, 4.54
,,16_18, 1.51
,,18_20, 1.51
,,20_22, 1.51
,,22_24, 6.06
,,24_26, 1.51
,,26_28, 9.08
,,30_32, 1.51
,,32_34, 4.54
,,34_36, 4.54
,,36_38, 3.03
,,38_40, 1.51
,,40_42, 1.51
,,42_44, 7.57
,,46_48, 4.54
,,48_50, 3.03
,,56_58, 4.54
,,58_60, 1.51
,,60_62, 1.51
,,64_66, 1.51
,,74_76, 1.51
,,76_78, 3.03
,,80_82, 3.03
,,82_84, 3.03
,,94_96, 4.54
,,100_102, 1.51
,,104_106, 3.03
,,106_108, 3.03
,,110_112, 1.51
,,112_114, 1.51
,,114_116, 1.51
,,142_144, 1.51
,,144_146, 1.51
,,146_148, 3.03
,,148_150, 1.51
,,150_152, 3.03
,,152_154, 4.54
,,154_156, 1.51
,,156_158, 1.51
,,158_160, 3.03
,,160_162, 3.03
,,172_174, 3.03
,,178_180, 1.51
,,180_182, 1.51
,,182_184, 1.51
,,184_186, 1.51
,,186_188, 3.03
,,190_192, 3.03
,,192_194, 3.03
,,194_196, 1.51
,,196_198, 1.51
,,198_200, 1.51
,,202_204, 3.03
,,206_208, 3.03
,,210_212, 3.03
,,212_214, 1.51
,,216_218, 3.03
,,218_220, 1.51
,,220_222, 1.51
,,222_224, 1.51
,,224_226, 1.51
,,228_230, 3.03
,,230_232, 3.03
,,234_236, 1.51
,,238_240, 3.03
,,240_242, 1.51
,,242_244, 1.51
,,244_246, 3.03
,,248_250, 3.03
,,252_254, 1.51
,,256_258, 1.51
,,258_260, 1.51
,,260_262, 1.51
,,262_264, 1.51
,,264_266, 1.51
,,266_268, 1.51
,,268_270, 1.51
,,270_272, 1.51
,,272_274, 3.03
,,276_278, 1.51
,,280_282, 1.51
,,282_284, 1.51
,,284_286, 4.54
,,286_288, 1.51
,,288_290, 1.51
,,290_292, 1.51
,,292_294, 1.51
,,296_298, 1.51
,,298_300, 3.03
,,302_304, 1.51
,,306_308, 1.51
,,308_310, 3.03
,,310_312, 1.51
,,312_314, 1.51
,,314_316, 1.51
,,318_320, 1.51
,,322_324, 3.03
,,324_326, 3.03
,,328_330, 1.51
,,336_338, 1.51
,,352_354, 1.51
,,356_358, 1.51
Category,Travel Time Bin (2 min Interval),Avg Travel Time (min),
,,10_12, 7.00
,,12_14, 7.75
,,14_16, 7.33
,,16_18,11.00
,,18_20, 7.00
,,20_22,13.00
,,22_24, 9.98
,,24_26, 7.00
,,26_28,12.82
,,30_32,26.10
,,32_34,15.00
,,34_36,13.30
,,36_38,24.00
,,38_40,12.90
,,40_42,18.00
,,42_44,17.62
,,46_48,26.33
,,48_50,16.00
,,56_58,18.70
,,58_60,17.00
,,60_62,22.00
,,64_66,21.00
,,74_76,22.00
,,76_78,24.00
,,80_82,23.50
,,82_84,24.00
,,94_96,25.33
,,100_102, 7.00
,,104_106, 7.00
,,106_108,15.50
,,110_112, 7.00
,,112_114, 7.00
,,114_116, 7.00
,,142_144, 8.00
,,144_146, 8.00
,,146_148, 8.00
,,148_150, 8.00
,,150_152, 7.95
,,152_154, 7.97
,,154_156, 7.90
,,156_158, 8.00
,,158_160, 8.00
,,160_162, 7.95
,,172_174,35.00
,,178_180, 7.00
,,180_182, 7.00
,,182_184, 7.00
,,184_186, 8.00
,,186_188, 7.45
,,190_192, 7.00
,,192_194, 6.95
,,194_196, 7.00
,,196_198, 7.00
,,198_200, 7.00
,,202_204, 7.00
,,206_208, 7.00
,,210_212, 7.00
,,212_214, 7.00
,,216_218, 7.00
,,218_220, 7.00
,,220_222, 7.00
,,222_224, 7.00
,,224_226, 7.00
,,228_230, 7.00
,,230_232, 7.00
,,234_236, 7.00
,,238_240, 7.50
,,240_242, 7.00
,,242_244, 7.00
,,244_246, 7.00
,,248_250, 7.00
,,252_254, 7.00
,,256_258, 7.00
,,258_260, 7.00
,,260_262, 7.00
,,262_264, 7.00
,,264_266, 7.00
,,266_268, 7.00
,,268_270, 7.00
,,270_272, 7.00
,,272_274, 7.00
,,276_278, 7.00
,,280_282, 7.00
,,282_284, 7.00
,,284_286, 7.00
,,286_288, 7.00
,,288_290, 7.00
,,290_292, 7.00
,,292_294, 7.00
,,296_298, 7.00
,,298_300, 7.00
,,302_304, 7.00
,,306_308, 7.00
,,308_310, 7.00
,,310_312, 7.00
,,312_314, 7.00
,,314_316, 7.00
,,318_320, 7.00
,,322_324, 7.00
,,324_326, 7.00
,,328_330, 7.00
,,336_338, 7.00
,,352_354, 7.00
,,356_358, 8.00
Category,Travel Time Bin (2 min Interval),Avg Travel Distance (mile),
,,10_12, 1.51
,,12_14, 1.51
,,14_16, 1.51
,,16_18, 1.51
,,18_20, 1.51
,,20_22, 1.51
,,22_24, 1.51
,,24_26, 1.51
,,26_28, 1.51
,,30_32, 1.51
,,32_34, 1.51
,,34_36, 1.51
,,36_38, 1.51
,,38_40, 1.51
,,40_42, 1.51
,,42_44, 1.51
,,46_48, 1.51
,,48_50, 1.51
,,56_58, 1.51
,,58_60, 1.51
,,60_62, 1.51
,,64_66, 1.51
,,74_76, 1.51
,,76_78, 1.51
,,80_82, 1.51
,,82_84, 1.51
,,94_96, 1.51
,,100_102, 1.51
,,104_106, 1.51
,,106_108, 1.51
,,110_112, 1.51
,,112_114, 1.51
,,114_116, 1.51
,,142_144, 1.51
,,144_146, 1.51
,,146_148, 1.51
,,148_150, 1.51
,,150_152, 1.51
,,152_154, 1.51
,,154_156, 1.51
,,156_158, 1.51
,,158_160, 1.51
,,160_162, 1.51
,,172_174, 1.51
,,178_180, 1.51
,,180_182, 1.51
,,182_184, 1.51
,,184_186, 1.51
,,186_188, 1.51
,,190_192, 1.51
,,192_194, 1.51
,,194_196, 1.51
,,196_198, 1.51
,,198_200, 1.51
,,202_204, 1.51
,,206_208, 1.51
,,210_212, 1.51
,,212_214, 1.51
,,216_218, 1.51
,,218_220, 1.51
,,220_222, 1.51
,,222_224, 1.51
,,224_226, 1.51
,,228_230, 1.51
,,230_232, 1.51
,,234_236, 1.51
,,238_240, 1.51
,,240_242, 1.51
,,242_244, 1.51
,,244_246, 1.51
,,248_250, 1.51
,,252_254, 1.51
,,256_258, 1.51
,,258_260, 1.51
,,260_262, 1.51
,,262_264, 1.51
,,264_266, 1.51
,,266_268, 1.51
,,268_270, 1.51
,,270_272, 1.51
,,272_274, 1.51
,,276_278, 1.51
,,280_282, 1.51
,,282_284, 1.51
,,284_286, 1.51
,,286_288, 1.51
,,288_290, 1.51
,,290_292, 1.51
,,292_294, 1.51
,,296_298, 1.51
,,298_300, 1.51
,,302_304, 1.51
,,306_308, 1.51
,,308_310, 1.51
,,310_312, 1.51
,,312_314, 1.51
,,314_316, 1.51
,,318_320, 1.51
,,322_324, 1.51
,,324_326, 1.51
,,328_330, 1.51
,,336_338, 1.51
,,352_354, 1.51
,,356_358, 1.51
Category,Travel Time Bin (2 min Interval),Avg Speed (mile/hour),
,,10_12,12.98
,,12_14,11.72
,,14_16,12.39
,,16_18, 8.26
,,18_20,12.98
,,20_22, 6.99
,,22_24, 9.11
,,24_26,12.98
,,26_28, 7.09
,,30_32, 3.48
,,32_34, 6.06
,,34_36, 6.83
,,36_38, 3.78
,,38_40, 7.04
,,40_42, 5.05
,,42_44, 5.16
,,46_48, 3.45
,,48_50, 5.68
,,56_58, 4.86
,,58_60, 5.34
,,60_62, 4.13
,,64_66, 4.33
,,74_76, 4.13
,,76_78, 3.78
,,80_82, 3.87
,,82_84, 3.78
,,94_96, 3.59
,,100_102,12.98
,,104_106,12.98
,,106_108, 5.86
,,110_112,12.98
,,112_114,12.98
,,114_116,12.98
,,142_144,11.35
,,144_146,11.35
,,146_148,11.35
,,148_150,11.35
,,150_152,11.43
,,152_154,11.40
,,154_156,11.50
,,156_158,11.35
,,158_160,11.35
,,160_162,11.43
,,172_174, 2.60
,,178_180,12.98
,,180_182,12.98
,,182_184,12.98
,,184_186,11.35
,,186_188,12.19
,,190_192,12.98
,,192_194,13.07
,,194_196,12.98
,,196_198,12.98
,,198_200,12.98
,,202_204,12.98
,,206_208,12.98
,,210_212,12.98
,,212_214,12.98
,,216_218,12.98
,,218_220,12.98
,,220_222,12.98
,,222_224,12.98
,,224_226,12.98
,,228_230,12.98
,,230_232,12.98
,,234_236,12.98
,,238_240,12.11
,,240_242,12.98
,,242_244,12.98
,,244_246,12.98
,,248_250,12.98
,,252_254,12.98
,,256_258,12.98
,,258_260,12.98
,,260_262,12.98
,,262_264,12.98
,,264_266,12.98
,,266_268,12.98
,,268_270,12.98
,,270_272,12.98
,,272_274,12.98
,,276_278,12.98
,,280_282,12.98
,,282_284,12.98
,,284_286,12.98
,,286_288,12.98
,,288_290,12.98
,,290_292,12.98
,,292_294,12.98
,,296_298,12.98
,,298_300,12.98
,,302_304,12.98
,,306_308,12.98
,,308_310,12.98
,,310_312,12.98
,,312_314,12.98
,,314_316,12.98
,,318_320,12.98
,,322_324,12.98
,,324_326,12.98
