from_zone_id,from_zone_id,#_of_simulated_vehicle_count,simulated_travel_time_in_min,#_of_obs_vehicle_count,obs_travel_time_in_min
2,33,6, 8.55,0,0
2,34,34, 3.34,0,0
2,35,5, 4.12,0,0
2,36,8, 6.81,0,0
2,37,15, 6.67,0,0
2,38,14,11.20,0,0
2,39,6,11.86,0,0
2,40,2, 6.13,0,0
2,41,67, 3.76,0,0
3,1,30, 7.28,0,0
3,2,23, 5.20,0,0
3,3,0,00,0
3,4,3, 3.47,0,0
3,5,16, 5.43,0,0
3,6,21, 5.97,0,0
3,7,15, 7.28,0,0
3,8,2,10.27,0,0
3,9,101, 9.97,0,0
3,10,6, 9.79,0,0
3,11,135, 8.51,0,0
3,12,3,10.82,0,0
3,13,68,10.83,0,0
3,14,85,11.32,0,0
3,15,31,11.13,0,0
3,16,40, 8.42,0,0
3,17,31, 6.36,0,0
3,18,30, 9.19,0,0
3,19,39, 4.57,0,0
3,20,29, 6.41,0,0
3,21,77, 9.78,0,0
3,22,40, 9.00,0,0
3,23,18, 9.83,0,0
3,24,102, 9.38,0,0
3,25,7, 4.05,0,0
3,26,14, 3.67,0,0
3,27,21, 2.94,0,0
3,28,31, 8.23,0,0
3,29,0,00,0
3,30,14, 8.62,0,0
3,31,42, 3.49,0,0
3,32,28, 6.38,0,0
3,33,12, 5.07,0,0
3,34,68, 2.98,0,0
3,35,10, 8.02,0,0
3,36,16,10.84,0,0
3,37,32, 2.65,0,0
3,38,28, 7.27,0,0
3,39,11, 8.32,0,0
3,40,5, 8.95,0,0
3,41,134, 7.50,0,0
4,1,2, 9.16,0,0
4,2,1, 8.73,0,0
4,3,2, 3.24,0,0
4,4,0,00,0
4,5,0,00,0
4,6,1, 4.25,0,0
4,7,1, 5.48,0,0
4,8,0,00,0
4,9,5, 6.82,0,0
4,10,0,00,0
4,11,7, 9.35,0,0
4,12,0,00,0
4,13,3,13.31,0,0
4,14,4,13.00,0,0
4,15,2,12.44,0,0
4,16,2,10.54,0,0
4,17,1, 9.14,0,0
4,18,1,10.31,0,0
4,19,2, 2.59,0,0
4,20,1, 5.57,0,0
4,21,4, 7.49,0,0
4,22,2, 6.56,0,0
4,23,1, 7.62,0,0
4,24,5,11.53,0,0
4,25,0,00,0
4,26,1, 4.77,0,0
4,27,1, 2.21,0,0
4,28,1, 6.92,0,0
4,29,0,00,0
4,30,1, 6.56,0,0
4,31,2, 5.33,0,0
4,32,2, 8.00,0,0
4,33,1, 1.88,0,0
4,34,4, 4.82,0,0
4,35,0,00,0
4,36,0,00,0
4,37,1, 3.25,0,0
4,38,1, 4.73,0,0
4,39,0,00,0
4,40,0,00,0
4,41,7, 9.39,0,0
5,1,10,10.90,0,0
5,2,8, 8.51,0,0
5,3,16, 5.12,0,0
5,4,1, 2.98,0,0
5,5,0,00,0
5,6,8, 1.57,0,0
5,7,6, 2.87,0,0
5,8,1, 6.34,0,0
5,9,35, 6.19,0,0
5,10,2, 6.72,0,0
5,11,46,10.41,0,0
5,12,1,12.01,0,0
5,13,24,13.70,0,0
5,14,29,15.00,0,0
5,15,11,15.32,0,0
5,16,14,12.05,0,0
5,17,10,10.34,0,0
5,18,10,12.87,0,0
5,19,14, 2.35,0,0
5,20,10, 4.90,0,0
5,21,27, 5.57,0,0
5,22,13, 6.77,0,0
5,23,6, 7.99,0,0
5,24,35,11.45,0,0
5,25,3, 5.63,0,0
5,26,4, 6.98,0,0
5,27,7, 5.01,0,0
5,28,11, 8.38,0,0
5,29,0,00,0
5,30,5, 8.26,0,0
5,31,14, 7.54,0,0
5,32,9,10.01,0,0
5,33,4, 2.14,0,0
5,34,24, 7.28,0,0
5,35,4,11.24,0,0
5,36,6,14.18,0,0
5,37,10, 4.69,0,0
5,38,10, 3.51,0,0
5,39,4, 6.51,0,0
5,40,2,12.85,0,0
5,41,47,11.18,0,0
6,1,14,11.60,0,0
6,2,11, 8.98,0,0
6,3,21, 5.54,0,0
6,4,1, 3.19,0,0
6,5,8, 1.57,0,0
6,6,0,00,0
6,7,7, 3.14,0,0
6,8,2, 6.59,0,0
6,9,47, 6.69,0,0
6,10,3, 8.34,0,0
6,11,62,11.19,0,0
6,12,1,17.43,0,0
6,13,31,14.81,0,0
6,14,39,15.57,0,0
6,15,14,15.73,0,0
6,16,18,12.74,0,0
6,17,14,11.28,0,0
6,18,13,12.99,0,0
6,19,18, 2.78,0,0
6,20,13, 4.38,0,0
6,21,36, 6.06,0,0
6,22,18, 7.36,0,0
6,23,8, 8.74,0,0
6,24,47,12.29,0,0
6,25,3, 5.70,0,0
6,26,6, 7.52,0,0
6,27,10, 4.90,0,0
6,28,14, 8.52,0,0
6,29,0,00,0
6,30,6, 8.93,0,0
6,31,19, 7.41,0,0
6,32,13,10.44,0,0
6,33,6, 2.59,0,0
6,34,31, 7.31,0,0
6,35,4,11.55,0,0
6,36,8,15.08,0,0
6,37,15, 4.64,0,0
6,38,13, 3.68,0,0
6,39,5, 7.34,0,0
6,40,2,13.83,0,0
6,41,62,11.54,0,0
7,1,10,12.70,0,0
7,2,8, 9.68,0,0
7,3,15, 6.67,0,0
7,4,1, 4.53,0,0
7,5,5, 2.40,0,0
7,6,7, 3.18,0,0
7,7,0,00,0
7,8,1, 4.96,0,0
7,9,33, 5.47,0,0
7,10,2, 6.61,0,0
7,11,43, 9.45,0,0
7,12,1,13.20,0,0
7,13,22,12.83,0,0
7,14,27,14.56,0,0
7,15,10,14.47,0,0
7,16,13,11.39,0,0
7,17,10,10.99,0,0
7,18,10,13.54,0,0
7,19,13, 2.69,0,0
7,20,10, 3.61,0,0
7,21,25, 4.79,0,0
7,22,13, 6.05,0,0
7,23,6, 7.73,0,0
7,24,33,10.98,0,0
7,25,2, 3.73,0,0
7,26,5, 5.91,0,0
7,27,7, 5.68,0,0
7,28,10, 7.58,0,0
7,29,0,00,0
7,30,4, 7.55,0,0
7,31,13, 8.71,0,0
7,32,9,11.54,0,0
7,33,4, 3.61,0,0
7,34,22, 7.97,0,0
7,35,4,10.10,0,0
7,36,5,13.39,0,0
7,37,10, 5.07,0,0
7,38,9, 3.25,0,0
7,39,3, 6.06,0,0
7,40,1,12.59,0,0
7,41,44,12.45,0,0
8,1,2,11.24,0,0
8,2,1, 9.69,0,0
8,3,2, 6.45,0,0
8,4,1, 6.27,0,0
8,5,1, 5.04,0,0
8,6,1, 5.36,0,0
8,7,1, 4.93,0,0
8,8,0,00,0
8,9,5, 0.68,0,0
8,10,0,00,0
8,11,6, 4.77,0,0
8,12,0,00,0
