Vehicle Selection Mode,--,Network-wide,--
,,17:00_17:30, 8.86
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,15:30_16:00,12.26
,,16:00_16:30,38.74
,,16:30_17:00,41.59
,,17:00_17:30,32.48
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,15:30_16:00,37.25
,,16:00_16:30,123.05
,,16:30_17:00,119.34
,,17:00_17:30,96.03
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,15:30_16:00,26.03
,,16:00_16:30,103.09
,,16:30_17:00,110.28
,,17:00_17:30,88.89
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,15:30_16:00,17.41
,,16:00_16:30,64.76
,,16:30_17:00,93.50
,,17:00_17:30,78.37
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:30_16:00, 7.55
,,16:00_16:30,24.79
,,16:30_17:00,24.23
,,17:00_17:30,19.48
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:30_16:00, 2.10
,,16:00_16:30, 2.64
,,16:30_17:00, 1.50
,,17:00_17:30, 1.20
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:30_16:00, 3.59
,,16:00_16:30, 6.52
,,16:30_17:00, 2.12
,,17:00_17:30, 1.30
Category,30-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:30_16:00, 2.72
,,16:00_16:30,10.47
,,16:30_17:00,18.02
,,17:00_17:30,17.68
Category,30-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00, 9.73
,,16:00_16:30,28.87
,,16:30_17:00,47.34
,,17:00_17:30,44.34
Category,30-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00, 7.36
,,16:00_16:30,25.09
,,16:30_17:00,34.75
,,17:00_17:30,33.81
Category,30-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00, 5.11
,,16:00_16:30,18.07
,,16:30_17:00,26.52
,,17:00_17:30,23.69
Category,30-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:30_16:00,35625.71
,,16:00_16:30,109270.20
,,16:30_17:00,160137.78
,,17:00_17:30,135082.30
Category,30-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:30_16:00,12.02
,,16:00_16:30,33.85
,,16:30_17:00,47.73
,,17:00_17:30,43.69
Category,30-min Departure Time Interval,Total Energy (KJ),
,,15:30_16:00,65853892.00
,,16:00_16:30,140237792.00
,,16:30_17:00,179504528.00
,,17:00_17:30,152501824.00
Category,30-min Departure Time Interval,Total CO2 (g),
,,15:30_16:00,4732693.00
,,16:00_16:30,10078425.00
,,16:30_17:00,12900432.00
,,17:00_17:30,10959793.00
Category,30-min Departure Time Interval,Total NOx (g),
,,15:30_16:00,4099.03
,,16:00_16:30,7294.00
,,16:30_17:00,7720.32
,,17:00_17:30,6777.71
Category,30-min Departure Time Interval,Total CO (g),
,,15:30_16:00,77521.34
,,16:00_16:30,131002.66
,,16:30_17:00,139813.06
,,17:00_17:30,118626.32
Category,30-min Departure Time Interval,Total HC (g),
,,15:30_16:00,1366.57
,,16:00_16:30,3083.47
,,16:30_17:00,3760.03
,,17:00_17:30,3257.24
Category,30-min Departure Time Interval,Total Gallon,
,,15:30_16:00,541.12
,,16:00_16:30,1152.32
,,16:30_17:00,1474.98
,,17:00_17:30,1253.10
Category,30-min Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:30_16:00,7449.18
,,16:00_16:30,14524.50
,,16:30_17:00,18018.67
,,17:00_17:30,16548.24
Category,30-min Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:30_16:00,535.35
,,16:00_16:30,1043.83
,,16:30_17:00,1294.95
,,17:00_17:30,1189.27
Category,30-min Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:30_16:00, 0.46
,,16:00_16:30, 0.76
,,16:30_17:00, 0.77
,,17:00_17:30, 0.74
Category,30-min Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:30_16:00, 8.77
,,16:00_16:30,13.57
,,16:30_17:00,14.03
,,17:00_17:30,12.87
Category,30-min Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:30_16:00, 0.15
,,16:00_16:30, 0.32
,,16:30_17:00, 0.38
,,17:00_17:30, 0.35
Category,30-min Departure Time Interval,Avg Miles per Gallon,
,,15:30_16:00,16.34
,,16:00_16:30, 8.38
,,16:30_17:00, 6.75
,,17:00_17:30, 7.35
Category,1-hour Departure Time Interval,Number of Vehicles,
,,15:00_16:00,2963.00
,,16:00_17:00,6583.00
,,17:00_18:00,3092.00
Category,1-hour Departure Time Interval,Cumulative Number of Vehicles,
,,15:00_16:00,2963.00
,,16:00_17:00,9546.00
,,17:00_18:00,12638.00
Category,1-hour Departure Time Interval,Total Travel Time (min),
,,15:00_16:00,35625.71
,,16:00_17:00,269408.63
,,17:00_18:00,135082.30
Category,1-hour Departure Time Interval,Total Travel Distance (mile),
,,15:00_16:00,8840.42
,,16:00_17:00,19617.44
,,17:00_18:00,9215.59
Category,1-hour Departure Time Interval,Avg Travel Time (min),
,,15:00_16:00,12.02
,,16:00_17:00,40.92
,,17:00_18:00,43.69
Category,1-hour Departure Time Interval,Avg Travel Distance (mile),
,,15:00_16:00, 2.98
,,16:00_17:00, 2.98
,,17:00_18:00, 2.98
Category,1-hour Departure Time Interval,Avg Speed (mile/hour),
,,15:00_16:00,14.89
,,16:00_17:00, 4.37
,,17:00_18:00, 4.09
Category,1-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:00_16:00, 3.72
,,16:00_17:00,13.64
,,17:00_18:00,16.79
Category,1-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:00_16:00, 2.44
,,16:00_17:00, 8.28
,,17:00_18:00, 8.86
Category,1-hour Departure Time Interval,Avg Travel Time STD (min),
,,15:00_16:00,12.26
,,16:00_17:00,40.81
,,17:00_18:00,32.48
Category,1-hour Departure Time Interval,95th Percentile Travel Time (min),
,,15:00_16:00,37.25
,,16:00_17:00,120.69
,,17:00_18:00,96.03
Category,1-hour Departure Time Interval,90th Percentile Travel Time (min),
,,15:00_16:00,26.03
,,16:00_17:00,108.53
,,17:00_18:00,88.89
Category,1-hour Departure Time Interval,80th Percentile Travel Time (min),
,,15:00_16:00,17.41
,,16:00_17:00,84.94
,,17:00_18:00,78.37
Category,1-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:00_16:00, 7.55
,,16:00_17:00,24.41
,,17:00_18:00,19.48
Category,1-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:00_16:00, 2.10
,,16:00_17:00, 1.95
,,17:00_18:00, 1.20
Category,1-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:00_16:00, 3.59
,,16:00_17:00, 4.51
,,17:00_18:00, 1.30
Category,1-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:00_16:00, 2.72
,,16:00_17:00,15.22
,,17:00_18:00,17.68
Category,1-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00, 9.73
,,16:00_17:00,38.85
,,17:00_18:00,44.34
Category,1-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00, 7.36
,,16:00_17:00,28.82
,,17:00_18:00,33.81
Category,1-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00, 5.11
,,16:00_17:00,23.82
,,17:00_18:00,23.69
Category,1-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:00_16:00,35625.71
,,16:00_17:00,269408.63
,,17:00_18:00,135082.30
Category,1-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:00_16:00,12.02
,,16:00_17:00,40.92
,,17:00_18:00,43.69
Category,1-hour Departure Time Interval,Total Energy (KJ),
,,15:00_16:00,65853892.00
,,16:00_17:00,319743360.00
,,17:00_18:00,152501824.00
Category,1-hour Departure Time Interval,Total CO2 (g),
,,15:00_16:00,4732693.00
,,16:00_17:00,22978852.00
,,17:00_18:00,10959793.00
Category,1-hour Departure Time Interval,Total NOx (g),
,,15:00_16:00,4099.03
,,16:00_17:00,15014.29
,,17:00_18:00,6777.71
Category,1-hour Departure Time Interval,Total CO (g),
,,15:00_16:00,77521.34
,,16:00_17:00,270816.28
,,17:00_18:00,118626.32
Category,1-hour Departure Time Interval,Total HC (g),
,,15:00_16:00,1366.57
,,16:00_17:00,6843.50
,,17:00_18:00,3257.24
Category,1-hour Departure Time Interval,Total Gallon,
,,15:00_16:00,541.12
,,16:00_17:00,2627.31
,,17:00_18:00,1253.10
Category,1-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:00_16:00,7449.18
,,16:00_17:00,16298.94
,,17:00_18:00,16548.24
Category,1-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:00_16:00,535.35
,,16:00_17:00,1171.35
,,17:00_18:00,1189.27
Category,1-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:00_16:00, 0.46
,,16:00_17:00, 0.77
,,17:00_18:00, 0.74
Category,1-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:00_16:00, 8.77
,,16:00_17:00,13.80
,,17:00_18:00,12.87
Category,1-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:00_16:00, 0.15
,,16:00_17:00, 0.35
,,17:00_18:00, 0.35
Category,1-hour Departure Time Interval,Avg Miles per Gallon,
,,15:00_16:00,16.34
,,16:00_17:00, 7.47
,,17:00_18:00, 7.35
Category,2-hour Departure Time Interval,Number of Vehicles,
,,14:00_16:00,2963.00
,,16:00_18:00,9675.00
Category,2-hour Departure Time Interval,Cumulative Number of Vehicles,
,,14:00_16:00,2963.00
,,16:00_18:00,12638.00
Category,2-hour Departure Time Interval,Total Travel Time (min),
,,14:00_16:00,35625.71
,,16:00_18:00,404490.59
Category,2-hour Departure Time Interval,Total Travel Distance (mile),
,,14:00_16:00,8840.42
,,16:00_18:00,28832.98
